Year,Month,Province,New_Factories
2020,Jan,กระบี่,24
2020,Feb,กระบี่,24
2020,Mar,กระบี่,24
2020,Apr,กระบี่,24
2020,May,กระบี่,24
2020,Jun,กระบี่,24
2020,Jul,กระบี่,24
2020,Aug,กระบี่,24
2020,Sep,กระบี่,24
2020,Oct,กระบี่,24
2020,Nov,กระบี่,24
2020,Dec,กระบี่,24
2021,Jan,กระบี่,11
2021,Feb,กระบี่,11
2021,Mar,กระบี่,11
2021,Apr,กระบี่,11
2021,May,กระบี่,11
2021,Jun,กระบี่,11
2021,Jul,กระบี่,11
2021,Aug,กระบี่,11
2021,Sep,กระบี่,11
2021,Oct,กระบี่,11
2021,Nov,กระบี่,11
2021,Dec,กระบี่,11
2022,Jan,กระบี่,9
2022,Feb,กระบี่,9
2022,Mar,กระบี่,9
2022,Apr,กระบี่,9
2022,May,กระบี่,9
2022,Jun,กระบี่,9
2022,Jul,กระบี่,9
2022,Aug,กระบี่,9
2022,Sep,กระบี่,9
2022,Oct,กระบี่,9
2022,Nov,กระบี่,9
2022,Dec,กระบี่,9
2023,Jan,กระบี่,2
2023,Feb,กระบี่,2
2023,Mar,กระบี่,2
2023,Apr,กระบี่,2
2023,May,กระบี่,2
2023,Jun,กระบี่,2
2023,Jul,กระบี่,2
2023,Aug,กระบี่,2
2023,Sep,กระบี่,2
2023,Oct,กระบี่,2
2023,Nov,กระบี่,2
2023,Dec,กระบี่,2
2024,Jan,กระบี่,5
2024,Feb,กระบี่,5
2024,Mar,กระบี่,5
2024,Apr,กระบี่,5
2024,May,กระบี่,5
2024,Jun,กระบี่,5
2024,Jul,กระบี่,5
2024,Aug,กระบี่,5
2024,Sep,กระบี่,5
2024,Oct,กระบี่,5
2024,Nov,กระบี่,5
2024,Dec,กระบี่,5
2020,Jan,กรุงเทพมหานคร,64
2020,Feb,กรุงเทพมหานคร,64
2020,Mar,กรุงเทพมหานคร,64
2020,Apr,กรุงเทพมหานคร,64
2020,May,กรุงเทพมหานคร,64
2020,Jun,กรุงเทพมหานคร,64
2020,Jul,กรุงเทพมหานคร,64
2020,Aug,กรุงเทพมหานคร,64
2020,Sep,กรุงเทพมหานคร,64
2020,Oct,กรุงเทพมหานคร,64
2020,Nov,กรุงเทพมหานคร,64
2020,Dec,กรุงเทพมหานคร,64
2021,Jan,กรุงเทพมหานคร,185
2021,Feb,กรุงเทพมหานคร,185
2021,Mar,กรุงเทพมหานคร,185
2021,Apr,กรุงเทพมหานคร,185
2021,May,กรุงเทพมหานคร,185
2021,Jun,กรุงเทพมหานคร,185
2021,Jul,กรุงเทพมหานคร,185
2021,Aug,กรุงเทพมหานคร,185
2021,Sep,กรุงเทพมหานคร,185
2021,Oct,กรุงเทพมหานคร,185
2021,Nov,กรุงเทพมหานคร,185
2021,Dec,กรุงเทพมหานคร,185
2022,Jan,กรุงเทพมหานคร,55
2022,Feb,กรุงเทพมหานคร,55
2022,Mar,กรุงเทพมหานคร,55
2022,Apr,กรุงเทพมหานคร,55
2022,May,กรุงเทพมหานคร,55
2022,Jun,กรุงเทพมหานคร,55
2022,Jul,กรุงเทพมหานคร,55
2022,Aug,กรุงเทพมหานคร,55
2022,Sep,กรุงเทพมหานคร,55
2022,Oct,กรุงเทพมหานคร,55
2022,Nov,กรุงเทพมหานคร,55
2022,Dec,กรุงเทพมหานคร,55
2023,Jan,กรุงเทพมหานคร,50
2023,Feb,กรุงเทพมหานคร,50
2023,Mar,กรุงเทพมหานคร,50
2023,Apr,กรุงเทพมหานคร,50
2023,May,กรุงเทพมหานคร,50
2023,Jun,กรุงเทพมหานคร,50
2023,Jul,กรุงเทพมหานคร,50
2023,Aug,กรุงเทพมหานคร,50
2023,Sep,กรุงเทพมหานคร,50
2023,Oct,กรุงเทพมหานคร,50
2023,Nov,กรุงเทพมหานคร,50
2023,Dec,กรุงเทพมหานคร,50
2024,Jan,กรุงเทพมหานคร,40
2024,Feb,กรุงเทพมหานคร,40
2024,Mar,กรุงเทพมหานคร,40
2024,Apr,กรุงเทพมหานคร,40
2024,May,กรุงเทพมหานคร,40
2024,Jun,กรุงเทพมหานคร,40
2024,Jul,กรุงเทพมหานคร,40
2024,Aug,กรุงเทพมหานคร,40
2024,Sep,กรุงเทพมหานคร,40
2024,Oct,กรุงเทพมหานคร,40
2024,Nov,กรุงเทพมหานคร,40
2024,Dec,กรุงเทพมหานคร,40
2020,Jan,กาญจนบุรี,29
2020,Feb,กาญจนบุรี,29
2020,Mar,กาญจนบุรี,29
2020,Apr,กาญจนบุรี,29
2020,May,กาญจนบุรี,29
2020,Jun,กาญจนบุรี,29
2020,Jul,กาญจนบุรี,29
2020,Aug,กาญจนบุรี,29
2020,Sep,กาญจนบุรี,29
2020,Oct,กาญจนบุรี,29
2020,Nov,กาญจนบุรี,29
2020,Dec,กาญจนบุรี,29
2021,Jan,กาญจนบุรี,31
2021,Feb,กาญจนบุรี,31
2021,Mar,กาญจนบุรี,31
2021,Apr,กาญจนบุรี,31
2021,May,กาญจนบุรี,31
2021,Jun,กาญจนบุรี,31
2021,Jul,กาญจนบุรี,31
2021,Aug,กาญจนบุรี,31
2021,Sep,กาญจนบุรี,31
2021,Oct,กาญจนบุรี,31
2021,Nov,กาญจนบุรี,31
2021,Dec,กาญจนบุรี,31
2022,Jan,กาญจนบุรี,43
2022,Feb,กาญจนบุรี,43
2022,Mar,กาญจนบุรี,43
2022,Apr,กาญจนบุรี,43
2022,May,กาญจนบุรี,43
2022,Jun,กาญจนบุรี,43
2022,Jul,กาญจนบุรี,43
2022,Aug,กาญจนบุรี,43
2022,Sep,กาญจนบุรี,43
2022,Oct,กาญจนบุรี,43
2022,Nov,กาญจนบุรี,43
2022,Dec,กาญจนบุรี,43
2023,Jan,กาญจนบุรี,28
2023,Feb,กาญจนบุรี,28
2023,Mar,กาญจนบุรี,28
2023,Apr,กาญจนบุรี,28
2023,May,กาญจนบุรี,28
2023,Jun,กาญจนบุรี,28
2023,Jul,กาญจนบุรี,28
2023,Aug,กาญจนบุรี,28
2023,Sep,กาญจนบุรี,28
2023,Oct,กาญจนบุรี,28
2023,Nov,กาญจนบุรี,28
2023,Dec,กาญจนบุรี,28
2024,Jan,กาญจนบุรี,23
2024,Feb,กาญจนบุรี,23
2024,Mar,กาญจนบุรี,23
2024,Apr,กาญจนบุรี,23
2024,May,กาญจนบุรี,23
2024,Jun,กาญจนบุรี,23
2024,Jul,กาญจนบุรี,23
2024,Aug,กาญจนบุรี,23
2024,Sep,กาญจนบุรี,23
2024,Oct,กาญจนบุรี,23
2024,Nov,กาญจนบุรี,23
2024,Dec,กาญจนบุรี,23
2020,Jan,กาฬสินธุ์,23
2020,Feb,กาฬสินธุ์,23
2020,Mar,กาฬสินธุ์,23
2020,Apr,กาฬสินธุ์,23
2020,May,กาฬสินธุ์,23
2020,Jun,กาฬสินธุ์,23
2020,Jul,กาฬสินธุ์,23
2020,Aug,กาฬสินธุ์,23
2020,Sep,กาฬสินธุ์,23
2020,Oct,กาฬสินธุ์,23
2020,Nov,กาฬสินธุ์,23
2020,Dec,กาฬสินธุ์,23
2021,Jan,กาฬสินธุ์,26
2021,Feb,กาฬสินธุ์,26
2021,Mar,กาฬสินธุ์,26
2021,Apr,กาฬสินธุ์,26
2021,May,กาฬสินธุ์,26
2021,Jun,กาฬสินธุ์,26
2021,Jul,กาฬสินธุ์,26
2021,Aug,กาฬสินธุ์,26
2021,Sep,กาฬสินธุ์,26
2021,Oct,กาฬสินธุ์,26
2021,Nov,กาฬสินธุ์,26
2021,Dec,กาฬสินธุ์,26
2022,Jan,กาฬสินธุ์,24
2022,Feb,กาฬสินธุ์,24
2022,Mar,กาฬสินธุ์,24
2022,Apr,กาฬสินธุ์,24
2022,May,กาฬสินธุ์,24
2022,Jun,กาฬสินธุ์,24
2022,Jul,กาฬสินธุ์,24
2022,Aug,กาฬสินธุ์,24
2022,Sep,กาฬสินธุ์,24
2022,Oct,กาฬสินธุ์,24
2022,Nov,กาฬสินธุ์,24
2022,Dec,กาฬสินธุ์,24
2023,Jan,กาฬสินธุ์,11
2023,Feb,กาฬสินธุ์,11
2023,Mar,กาฬสินธุ์,11
2023,Apr,กาฬสินธุ์,11
2023,May,กาฬสินธุ์,11
2023,Jun,กาฬสินธุ์,11
2023,Jul,กาฬสินธุ์,11
2023,Aug,กาฬสินธุ์,11
2023,Sep,กาฬสินธุ์,11
2023,Oct,กาฬสินธุ์,11
2023,Nov,กาฬสินธุ์,11
2023,Dec,กาฬสินธุ์,11
2024,Jan,กาฬสินธุ์,14
2024,Feb,กาฬสินธุ์,14
2024,Mar,กาฬสินธุ์,14
2024,Apr,กาฬสินธุ์,14
2024,May,กาฬสินธุ์,14
2024,Jun,กาฬสินธุ์,14
2024,Jul,กาฬสินธุ์,14
2024,Aug,กาฬสินธุ์,14
2024,Sep,กาฬสินธุ์,14
2024,Oct,กาฬสินธุ์,14
2024,Nov,กาฬสินธุ์,14
2024,Dec,กาฬสินธุ์,14
2020,Jan,กำแพงเพชร,32
2020,Feb,กำแพงเพชร,32
2020,Mar,กำแพงเพชร,32
2020,Apr,กำแพงเพชร,32
2020,May,กำแพงเพชร,32
2020,Jun,กำแพงเพชร,32
2020,Jul,กำแพงเพชร,32
2020,Aug,กำแพงเพชร,32
2020,Sep,กำแพงเพชร,32
2020,Oct,กำแพงเพชร,32
2020,Nov,กำแพงเพชร,32
2020,Dec,กำแพงเพชร,32
2021,Jan,กำแพงเพชร,24
2021,Feb,กำแพงเพชร,24
2021,Mar,กำแพงเพชร,24
2021,Apr,กำแพงเพชร,24
2021,May,กำแพงเพชร,24
2021,Jun,กำแพงเพชร,24
2021,Jul,กำแพงเพชร,24
2021,Aug,กำแพงเพชร,24
2021,Sep,กำแพงเพชร,24
2021,Oct,กำแพงเพชร,24
2021,Nov,กำแพงเพชร,24
2021,Dec,กำแพงเพชร,24
2022,Jan,กำแพงเพชร,9
2022,Feb,กำแพงเพชร,9
2022,Mar,กำแพงเพชร,9
2022,Apr,กำแพงเพชร,9
2022,May,กำแพงเพชร,9
2022,Jun,กำแพงเพชร,9
2022,Jul,กำแพงเพชร,9
2022,Aug,กำแพงเพชร,9
2022,Sep,กำแพงเพชร,9
2022,Oct,กำแพงเพชร,9
2022,Nov,กำแพงเพชร,9
2022,Dec,กำแพงเพชร,9
2023,Jan,กำแพงเพชร,21
2023,Feb,กำแพงเพชร,21
2023,Mar,กำแพงเพชร,21
2023,Apr,กำแพงเพชร,21
2023,May,กำแพงเพชร,21
2023,Jun,กำแพงเพชร,21
2023,Jul,กำแพงเพชร,21
2023,Aug,กำแพงเพชร,21
2023,Sep,กำแพงเพชร,21
2023,Oct,กำแพงเพชร,21
2023,Nov,กำแพงเพชร,21
