Year,Month,Province,PM2.5
2020,Jan,กรุงเทพมหานคร,40.583333333333336
2020,Jan,นนทบุรี,42.0
2020,Jan,ปทุมธานี,41.0
2020,Jan,สมุทรปราการ,40.6
2020,Jan,สมุทรสาคร,44.0
2020,Jan,นครปฐม,42.0
2020,Jan,พระนครศรีอยุธยา,49.0
2020,Jan,สระบุรี,58.0
2020,Jan,ลพบุรี,37.5
2020,Jan,สิงห์บุรี,42.0
2020,Jan,อ่างทอง,32.039337995337995
2020,Jan,ชัยนาท,32.039337995337995
2020,Jan,สมุทรสงคราม,40.25
2020,Jan,นครสวรรค์,50.0
2020,Jan,อุทัยธานี,42.5
2020,Jan,เชียงราย,33.0
2020,Jan,เชียงใหม่,43.0
2020,Jan,น่าน,42.0
2020,Jan,พะเยา,55.0
2020,Jan,พิษณุโลก,42.75
2020,Jan,แพร่,78.0
2020,Jan,แม่ฮ่องสอน,29.0
2020,Jan,ลำปาง,78.0
2020,Jan,ลำพูน,46.0
2020,Jan,ตาก,53.0
2020,Jan,อุตรดิตถ์,35.666666666666664
2020,Jan,สุโขทัย,47.0
2020,Jan,พิจิตร,35.0
2020,Jan,เพชรบูรณ์,30.5
2020,Jan,กำแพงเพชร,33.5
2020,Jan,ขอนแก่น,43.0
2020,Jan,นครราชสีมา,48.0
2020,Jan,นครพนม,28.25
2020,Jan,เลย,40.0
2020,Jan,หนองคาย,40.0
2020,Jan,อุบลราชธานี,27.0
2020,Jan,สกลนคร,18.666666666666668
2020,Jan,อุดรธานี,24.333333333333332
2020,Jan,บุรีรัมย์,24.5
2020,Jan,มุกดาหาร,24.5
2020,Jan,บึงกาฬ,14.0
2020,Jan,กาฬสินธุ์,28.0
2020,Jan,ชัยภูมิ,26.0
2020,Jan,ยโสธร,24.0
2020,Jan,อำนาจเจริญ,17.0
2020,Jan,สุรินทร์,27.0
2020,Jan,ศรีสะเกษ,20.0
2020,Jan,ร้อยเอ็ด,32.039337995337995
2020,Jan,มหาสารคาม,32.039337995337995
2020,Jan,หนองบัวลำภู,32.039337995337995
2020,Jan,ฉะเชิงเทรา,37.0
2020,Jan,ชลบุรี,38.0
2020,Jan,ตราด,23.75
2020,Jan,ระยอง,34.4
2020,Jan,สระแก้ว,46.0
2020,Jan,ปราจีนบุรี,50.0
2020,Jan,จันทบุรี,23.0
2020,Jan,นครนายก,26.0
2020,Jan,กาญจนบุรี,66.0
2020,Jan,ราชบุรี,58.0
2020,Jan,สุพรรณบุรี,37.75
2020,Jan,ประจวบคีรีขันธ์,33.5
2020,Jan,เพชรบุรี,32.039337995337995
2020,Jan,นราธิวาส,17.0
2020,Jan,นครศรีธรรมราช,19.5
2020,Jan,ภูเก็ต,16.0
2020,Jan,ยะลา,15.5
2020,Jan,สงขลา,16.0
2020,Jan,สุราษฎร์ธานี,21.0
2020,Jan,สตูล,13.0
2020,Jan,ตรัง,15.0
2020,Jan,ชุมพร,32.039337995337995
2020,Jan,กระบี่,32.039337995337995
2020,Jan,พัทลุง,32.039337995337995
2020,Jan,ปัตตานี,32.039337995337995
2020,Jan,ระนอง,32.039337995337995
2020,Jan,พังงา,32.039337995337995
2020,Feb,กรุงเทพมหานคร,40.41666666666666
2020,Feb,นนทบุรี,42.5
2020,Feb,ปทุมธานี,42.0
2020,Feb,สมุทรปราการ,43.2
2020,Feb,สมุทรสาคร,42.5
2020,Feb,นครปฐม,41.0
2020,Feb,พระนครศรีอยุธยา,49.0
2020,Feb,สระบุรี,59.0
2020,Feb,ลพบุรี,42.0
2020,Feb,สิงห์บุรี,43.0
2020,Feb,อ่างทอง,39.20553846153846
2020,Feb,ชัยนาท,39.20553846153846
2020,Feb,สมุทรสงคราม,32.0
2020,Feb,นครสวรรค์,45.0
2020,Feb,อุทัยธานี,50.0
2020,Feb,เชียงราย,56.5
2020,Feb,เชียงใหม่,54.0
2020,Feb,น่าน,50.5
2020,Feb,พะเยา,61.0
2020,Feb,พิษณุโลก,51.5
2020,Feb,แพร่,64.0
2020,Feb,แม่ฮ่องสอน,86.0
2020,Feb,ลำปาง,51.5
2020,Feb,ลำพูน,39.0
2020,Feb,ตาก,60.0
2020,Feb,อุตรดิตถ์,43.666666666666664
2020,Feb,สุโขทัย,80.5
2020,Feb,พิจิตร,43.0
2020,Feb,เพชรบูรณ์,46.5
2020,Feb,กำแพงเพชร,50.0
2020,Feb,ขอนแก่น,45.0
2020,Feb,นครราชสีมา,50.0
2020,Feb,นครพนม,38.25
2020,Feb,เลย,46.0
2020,Feb,หนองคาย,49.0
2020,Feb,อุบลราชธานี,46.0
2020,Feb,สกลนคร,27.333333333333332
2020,Feb,อุดรธานี,32.333333333333336
2020,Feb,บุรีรัมย์,38.0
2020,Feb,มุกดาหาร,44.5
2020,Feb,บึงกาฬ,29.0
2020,Feb,กาฬสินธุ์,51.0
2020,Feb,ชัยภูมิ,45.0
2020,Feb,ยโสธร,49.0
2020,Feb,อำนาจเจริญ,41.0
2020,Feb,สุรินทร์,45.0
2020,Feb,ศรีสะเกษ,42.0
2020,Feb,ร้อยเอ็ด,39.20553846153846
2020,Feb,มหาสารคาม,39.20553846153846
2020,Feb,หนองบัวลำภู,39.20553846153846
2020,Feb,ฉะเชิงเทรา,40.0
2020,Feb,ชลบุรี,38.333333333333336
2020,Feb,ตราด,30.0
2020,Feb,ระยอง,38.8
2020,Feb,สระแก้ว,42.0
2020,Feb,ปราจีนบุรี,56.0
2020,Feb,จันทบุรี,26.0
2020,Feb,นครนายก,30.0
2020,Feb,กาญจนบุรี,59.0
2020,Feb,ราชบุรี,51.0
2020,Feb,สุพรรณบุรี,36.333333333333336
2020,Feb,ประจวบคีรีขันธ์,31.0
2020,Feb,เพชรบุรี,39.20553846153846
2020,Feb,นราธิวาส,16.0
2020,Feb,นครศรีธรรมราช,20.0
2020,Feb,ภูเก็ต,15.0
