Year,Month,Province,Rainfall_Final
2021,Apr,Chok Chai,66.38333333333334
2021,Apr,Hua Hin,11.366666666666664
2021,Apr,Kabin Buri,45.0
2021,Apr,Khlong Yai,102.23333333333332
2021,Apr,Kosum Phisai,45.9
2021,Apr,Lampang,38.8
2021,Apr,Lamphun,21.200000000000003
2021,Apr,Lom Sak,45.06666666666666
2021,Apr,Lop Buri,34.86666666666667
2021,Apr,Mae Sariang,58.16666666666666
2021,Apr,Mae Sot,27.95
2021,Apr,Mukdahan,44.400000000000006
2021,Apr,Nakhon Phanom,75.08333333333334
2021,Apr,Nakhon Ratchasima,46.23333333333333
2021,Apr,Nakhon Sawan,61.3
2021,Apr,Nang Rong,77.26666666666667
2021,Apr,Narathiwat,87.58333333333333
2021,Apr,Nong Khai,64.68333333333332
2021,Apr,Phayao,80.08333333333333
2021,Apr,Phetchabun,33.333333333333336
2021,Apr,Phetchaburi,12.666666666666666
2021,Apr,Phitsanulok,51.66666666666666
2021,Apr,Prachin Buri,38.93333333333333
2021,Apr,Ranong,89.76666666666667
2021,Apr,Rayong,50.98333333333333
2021,Apr,Roi Et,80.66666666666667
2021,Apr,Sakon Nakhon,59.43333333333334
2021,Apr,Satun,215.25
2021,Apr,Songkhla,59.66666666666666
2021,Apr,Suphan Buri,46.383333333333326
2021,Apr,Surin,94.13333333333333
2021,Apr,Tha Tum,31.133333333333336
2021,Apr,Ubon Ratchathani,59.73333333333334
2021,Apr,Uttaradit,30.433333333333334
2021,Apr,Wichian Buri,41.61666666666667
2021,Apr,กรุงเทพมหานคร,53.18333333333333
2021,Apr,กาญจนบุรี,31.916666666666668
2021,Apr,กำแพงเพชร,51.31666666666666
2021,Apr,ขอนแก่น,64.51666666666667
2021,Apr,จันทบุรี,114.51666666666668
2021,Apr,ฉะเชิงเทรา,0.0
2021,Apr,ชลบุรี,98.0
2021,Apr,ชัยนาท,0.0
2021,Apr,ชัยภูมิ,44.28333333333333
2021,Apr,ชุมพร,48.55
2021,Apr,ตรัง,0.9166666666666666
2021,Apr,ตราด,102.23333333333332
2021,Apr,ตาก,6.958333333333334
2021,Apr,นครพนม,75.08333333333334
2021,Apr,นครราชสีมา,56.30833333333334
2021,Apr,นครศรีธรรมราช,0.0
2021,Apr,นครสวรรค์,61.3
2021,Apr,นราธิวาส,87.58333333333333
2021,Apr,น่าน,66.39999999999999
2021,Apr,บุรีรัมย์,77.26666666666667
2021,Apr,ปทุมธานี,0.0
2021,Apr,ประจวบคีรีขันธ์,11.366666666666664
2021,Apr,ปราจีนบุรี,41.96666666666666
2021,Apr,ปัตตานี,29.53333333333333
2021,Apr,พระนครศรีอยุธยา,0.0
2021,Apr,พะเยา,80.08333333333333
2021,Apr,พังงา,0.65
2021,Apr,พัทลุง,0.0
2021,Apr,พิจิตร,0.0
2021,Apr,พิษณุโลก,51.66666666666666
2021,Apr,ภูเก็ต,78.01666666666668
2021,Apr,มหาสารคาม,45.9
2021,Apr,มุกดาหาร,44.400000000000006
2021,Apr,ยะลา,0.0
2021,Apr,ระนอง,89.76666666666667
2021,Apr,ระยอง,50.98333333333333
2021,Apr,ราชบุรี,0.0
2021,Apr,ร้อยเอ็ด,80.66666666666667
2021,Apr,ลพบุรี,70.80416666666667
2021,Apr,ลำปาง,38.8
2021,Apr,ลำพูน,21.200000000000003
2021,Apr,ศรีสะเกษ,0.0
2021,Apr,สกลนคร,59.43333333333334
2021,Apr,สงขลา,59.66666666666666
2021,Apr,สตูล,215.25
2021,Apr,สระแก้ว,53.68333333333333
2021,Apr,สุพรรณบุรี,46.383333333333326
2021,Apr,สุราษฎร์ธานี,1.0
2021,Apr,สุรินทร์,94.13333333333333
2021,Apr,หนองคาย,64.68333333333332
2021,Apr,อุดรธานี,1.9833333333333336
2021,Apr,อุตรดิตถ์,30.433333333333334
2021,Apr,อุบลราชธานี,59.73333333333334
2021,Apr,เชียงราย,102.93333333333334
2021,Apr,เชียงใหม่,47.95
2021,Apr,เพชรบุรี,12.666666666666666
2021,Apr,เพชรบูรณ์,40.00555555555555
2021,Apr,เลย,37.75
2021,Apr,แพร่,22.05
2021,Apr,แม่ฮ่องสอน,58.16666666666666
2021,Aug,Chok Chai,160.36666666666667
2021,Aug,Hua Hin,65.3
2021,Aug,Kabin Buri,228.66666666666663
2021,Aug,Khlong Yai,654.5666666666667
2021,Aug,Kosum Phisai,169.73333333333332
2021,Aug,Lampang,148.76666666666668
2021,Aug,Lamphun,221.83333333333331
2021,Aug,Lom Sak,104.3
2021,Aug,Lop Buri,246.16666666666663
2021,Aug,Mae Sariang,221.4333333333333
2021,Aug,Mae Sot,375.5
2021,Aug,Mukdahan,293.56666666666666
2021,Aug,Nakhon Phanom,521.8
2021,Aug,Nakhon Ratchasima,115.1
2021,Aug,Nakhon Sawan,217.7
2021,Aug,Nang Rong,178.03333333333333
2021,Aug,Narathiwat,173.86666666666667
2021,Aug,Nong Khai,343.6000000000001
2021,Aug,Phayao,281.1666666666667
2021,Aug,Phetchabun,138.9
2021,Aug,Phetchaburi,73.96666666666665
2021,Aug,Phitsanulok,226.73333333333332
2021,Aug,Prachin Buri,399.1
2021,Aug,Ranong,475.4666666666667
2021,Aug,Rayong,137.20000000000002
2021,Aug,Roi Et,159.86666666666667
2021,Aug,Sakon Nakhon,322.90000000000003
2021,Aug,Satun,275.4666666666667
2021,Aug,Songkhla,76.06666666666666
2021,Aug,Suphan Buri,191.6
2021,Aug,Surin,255.76666666666665
2021,Aug,Tha Tum,28.46666666666667
2021,Aug,Ubon Ratchathani,398.86666666666673
2021,Aug,Uttaradit,234.26666666666665
2021,Aug,Wichian Buri,165.86666666666667
2021,Aug,กรุงเทพมหานคร,266.6
2021,Aug,กาญจนบุรี,125.26666666666668
2021,Aug,กำแพงเพชร,192.53333333333333
2021,Aug,ขอนแก่น,190.8
2021,Aug,จันทบุรี,623.4
2021,Aug,ฉะเชิงเทรา,188.8
2021,Aug,ชลบุรี,144.23333333333332
2021,Aug,ชัยนาท,173.0
2021,Aug,ชัยภูมิ,211.23333333333332
2021,Aug,ชุมพร,128.0
2021,Aug,ตรัง,0.3999999999999999
2021,Aug,ตราด,654.5666666666667
2021,Aug,ตาก,61.35
2021,Aug,นครพนม,156.8
2021,Aug,นครราชสีมา,109.4
2021,Aug,นครศรีธรรมราช,229.7
2021,Aug,นครสวรรค์,218.3
2021,Aug,นราธิวาส,173.86666666666667
2021,Aug,น่าน,134.3
2021,Aug,บุรีรัมย์,178.03333333333333
2021,Aug,ปทุมธานี,182.6
2021,Aug,ประจวบคีรีขันธ์,136.5
2021,Aug,ปราจีนบุรี,313.8833333333334
2021,Aug,ปัตตานี,190.4
2021,Aug,พระนครศรีอยุธยา,124.0
2021,Aug,พะเยา,281.1666666666667
2021,Aug,พังงา,0.3
2021,Aug,พัทลุง,58.3
2021,Aug,พิจิตร,0.0
2021,Aug,พิษณุโลก,226.73333333333332
2021,Aug,ภูเก็ต,431.29999999999995
2021,Aug,มหาสารคาม,169.73333333333332
2021,Aug,มุกดาหาร,293.56666666666666
2021,Aug,ยะลา,204.2
2021,Aug,ระนอง,475.4666666666667
2021,Aug,ระยอง,268.6
2021,Aug,ราชบุรี,0.0
2021,Aug,ร้อยเอ็ด,111.1
2021,Aug,ลพบุรี,172.81666666666666
2021,Aug,ลำปาง,148.76666666666668
2021,Aug,ลำพูน,221.83333333333331
2021,Aug,ศรีสะเกษ,170.2
2021,Aug,สกลนคร,131.1
2021,Aug,สงขลา,85.6
2021,Aug,สตูล,275.4666666666667
2021,Aug,สระแก้ว,217.7
2021,Aug,สุพรรณบุรี,191.6
2021,Aug,สุราษฎร์ธานี,78.0
2021,Aug,สุรินทร์,166.8
2021,Aug,หนองคาย,343.6000000000001
2021,Aug,อุดรธานี,0.3666666666666667
2021,Aug,อุตรดิตถ์,234.26666666666665
2021,Aug,อุบลราชธานี,241.1
2021,Aug,เชียงราย,314.0
2021,Aug,เชียงใหม่,200.9
2021,Aug,เพชรบุรี,73.96666666666665
2021,Aug,เพชรบูรณ์,136.35555555555558
2021,Aug,เลย,183.6
2021,Aug,แพร่,189.13333333333333
2021,Aug,แม่ฮ่องสอน,221.4333333333333
2021,Dec,Chok Chai,0.3
2021,Dec,Hua Hin,0.15
2021,Dec,Kabin Buri,0.3
2021,Dec,Khlong Yai,4.45
2021,Dec,Kosum Phisai,0.0
2021,Dec,Lampang,11.2
2021,Dec,Lamphun,10.85
2021,Dec,Lom Sak,0.0
2021,Dec,Lop Buri,0.25
2021,Dec,Mae Sariang,8.75
2021,Dec,Mae Sot,0.05
2021,Dec,Mukdahan,0.0
2021,Dec,Nakhon Phanom,0.0
2021,Dec,Nakhon Ratchasima,0.1
2021,Dec,Nakhon Sawan,0.65
2021,Dec,Nang Rong,0.0
2021,Dec,Narathiwat,860.9
2021,Dec,Nong Khai,0.0
2021,Dec,Phayao,22.9
2021,Dec,Phetchabun,0.0
2021,Dec,Phetchaburi,0.85
2021,Dec,Phitsanulok,19.65
2021,Dec,Prachin Buri,0.0
2021,Dec,Ranong,173.4
2021,Dec,Rayong,0.55
2021,Dec,Roi Et,0.0
2021,Dec,Sakon Nakhon,0.0
2021,Dec,Satun,69.75
2021,Dec,Songkhla,709.5500000000001
2021,Dec,Suphan Buri,3.9
2021,Dec,Surin,0.25
2021,Dec,Tha Tum,23.9
2021,Dec,Ubon Ratchathani,0.0
2021,Dec,Uttaradit,0.0
2021,Dec,Wichian Buri,0.0
2021,Dec,กรุงเทพมหานคร,0.4
2021,Dec,กาญจนบุรี,0.55
2021,Dec,กำแพงเพชร,0.7
2021,Dec,ขอนแก่น,0.0
2021,Dec,จันทบุรี,6.0
2021,Dec,ฉะเชิงเทรา,0.1
2021,Dec,ชลบุรี,0.1
2021,Dec,ชัยนาท,0.0
2021,Dec,ชัยภูมิ,1.2
2021,Dec,ชุมพร,99.4
2021,Dec,ตรัง,0.35
2021,Dec,ตราด,4.45
2021,Dec,ตาก,0.825
2021,Dec,นครพนม,0.0
2021,Dec,นครราชสีมา,0.0
2021,Dec,นครศรีธรรมราช,473.5
2021,Dec,นครสวรรค์,0.0
2021,Dec,นราธิวาส,860.9
2021,Dec,น่าน,0.0
2021,Dec,บุรีรัมย์,0.0
2021,Dec,ปทุมธานี,0.0
