Year,Month,Province,Total_Vehicles
2020,Jan,กรุงเทพมหานคร,10971799.0
2020,Feb,กรุงเทพมหานคร,10971799.0
2020,Mar,กรุงเทพมหานคร,10971799.0
2020,Apr,กรุงเทพมหานคร,10971799.0
2020,May,กรุงเทพมหานคร,10971799.0
2020,Jun,กรุงเทพมหานคร,10971799.0
2020,Jul,กรุงเทพมหานคร,10971799.0
2020,Aug,กรุงเทพมหานคร,10971799.0
2020,Sep,กรุงเทพมหานคร,10971799.0
2020,Oct,กรุงเทพมหานคร,10971799.0
2020,Nov,กรุงเทพมหานคร,10971799.0
2020,Dec,กรุงเทพมหานคร,10971799.0
2021,Jan,กรุงเทพมหานคร,11244732.0
2021,Feb,กรุงเทพมหานคร,11244732.0
2021,Mar,กรุงเทพมหานคร,11244732.0
2021,Apr,กรุงเทพมหานคร,11244732.0
2021,May,กรุงเทพมหานคร,11244732.0
2021,Jun,กรุงเทพมหานคร,11244732.0
2021,Jul,กรุงเทพมหานคร,11244732.0
2021,Aug,กรุงเทพมหานคร,11244732.0
2021,Sep,กรุงเทพมหานคร,11244732.0
2021,Oct,กรุงเทพมหานคร,11244732.0
2021,Nov,กรุงเทพมหานคร,11244732.0
2021,Dec,กรุงเทพมหานคร,11244732.0
2022,Jan,กรุงเทพมหานคร,11617177.0
2022,Feb,กรุงเทพมหานคร,11617177.0
2022,Mar,กรุงเทพมหานคร,11617177.0
2022,Apr,กรุงเทพมหานคร,11617177.0
2022,May,กรุงเทพมหานคร,11617177.0
2022,Jun,กรุงเทพมหานคร,11617177.0
2022,Jul,กรุงเทพมหานคร,11617177.0
2022,Aug,กรุงเทพมหานคร,11617177.0
2022,Sep,กรุงเทพมหานคร,11617177.0
2022,Oct,กรุงเทพมหานคร,11617177.0
2022,Nov,กรุงเทพมหานคร,11617177.0
2022,Dec,กรุงเทพมหานคร,11617177.0
2023,Jan,กรุงเทพมหานคร,11985012.0
2023,Feb,กรุงเทพมหานคร,11985012.0
2023,Mar,กรุงเทพมหานคร,11985012.0
2023,Apr,กรุงเทพมหานคร,11985012.0
