Year,Month,Province,Total_Population,Total_Vehicles,New_Factories,Rainfall,PM2.5
2020,Jan,กรุงเทพมหานคร,5588222,10971799.0,64,,40.583333333333336
2020,Jan,นนทบุรี,1276745,189955.0,35,,42.0
2020,Jan,ปทุมธานี,1176412,175071.0,77,,41.0
2020,Jan,สมุทรปราการ,1351479,162670.0,205,,40.6
2020,Jan,สมุทรสาคร,586199,244894.0,288,,44.0
2020,Jan,นครปฐม,920729,504023.0,116,,42.0
2020,Jan,พระนครศรีอยุธยา,819088,496186.0,55,,49.0
2020,Jan,สระบุรี,643828,448216.0,56,,58.0
2020,Jan,ลพบุรี,742928,440032.0,27,,37.5
2020,Jan,สิงห์บุรี,205898,141577.0,6,,42.0
2020,Jan,อ่างทอง,276584,157781.0,8,,32.039337995337995
2020,Jan,ชัยนาท,322477,177321.0,14,,32.039337995337995
2020,Jan,สมุทรสงคราม,192052,80262.0,2,,40.25
2020,Jan,นครสวรรค์,1040308,596923.0,30,,50.0
2020,Jan,อุทัยธานี,325868,184277.0,6,,42.5
2020,Jan,เชียงราย,1295026,772662.0,37,,33.0
2020,Jan,เชียงใหม่,1784370,1532297.0,39,,43.0
2020,Jan,น่าน,476727,247117.0,5,,42.0
2020,Jan,พะเยา,467356,277340.0,17,,55.0
2020,Jan,พิษณุโลก,849481,540424.0,23,,42.75
2020,Jan,แพร่,437350,268101.0,14,,78.0
2020,Jan,แม่ฮ่องสอน,284549,72894.0,0,,29.0
2020,Jan,ลำปาง,728964,469253.0,11,,78.0
2020,Jan,ลำพูน,402011,285919.0,16,,46.0
2020,Jan,ตาก,670265,245795.0,14,,53.0
2020,Jan,อุตรดิตถ์,448745,269791.0,8,,35.666666666666664
2020,Jan,สุโขทัย,587883,331662.0,13,,47.0
2020,Jan,พิจิตร,532310,296723.0,5,,35.0
2020,Jan,เพชรบูรณ์,981940,483356.0,32,,30.5
2020,Jan,กำแพงเพชร,714118,375536.0,32,,33.5
2020,Jan,ขอนแก่น,1794531,903795.0,50,,43.0
2020,Jan,นครราชสีมา,2633207,1422803.0,73,,48.0
2020,Jan,นครพนม,717201,225012.0,12,,28.25
2020,Jan,เลย,638736,292317.0,4,,40.0
2020,Jan,หนองคาย,517435,215279.0,12,,40.0
2020,Jan,อุบลราชธานี,1866697,779306.0,52,,27.0
2020,Jan,สกลนคร,1146936,513331.0,18,,18.666666666666668
2020,Jan,อุดรธานี,1567983,718683.0,31,,24.33333333333333
2020,Jan,บุรีรัมย์,1581184,535692.0,19,,24.5
2020,Jan,มุกดาหาร,350911,169017.0,3,,24.5
2020,Jan,บึงกาฬ,422042,124700.0,18,,14.0
2020,Jan,กาฬสินธุ์,977175,308951.0,23,,28.0
2020,Jan,ชัยภูมิ,1124924,388084.0,11,,26.0
2020,Jan,ยโสธร,534500,219548.0,17,,24.0
2020,Jan,อำนาจเจริญ,376195,133067.0,9,,17.0
2020,Jan,สุรินทร์,1378221,486776.0,17,,27.0
2020,Jan,ศรีสะเกษ,1458580,438534.0,12,,20.0
2020,Jan,ร้อยเอ็ด,1298640,430561.0,25,,32.039337995337995
2020,Jan,มหาสารคาม,953660,367058.0,16,,32.039337995337995
2020,Jan,หนองบัวลำภู,509470,166625.0,3,,32.039337995337995
2020,Jan,ฉะเชิงเทรา,720718,426248.0,112,,37.0
2020,Jan,ชลบุรี,1566885,1655116.0,251,,38.0
2020,Jan,ตราด,228536,134286.0,10,,23.75
2020,Jan,ระยอง,741524,784884.0,90,,34.4
2020,Jan,สระแก้ว,560925,262575.0,5,,46.0
2020,Jan,ปราจีนบุรี,493670,279467.0,35,,50.0
