Station,Year,Month,PM2.5
80T,2020,Jan,13.0
80T,2020,Feb,12.0
80T,2020,Mar,13.0
80T,2020,Apr,9.0
80T,2020,May,9.0
80T,2020,Jun,11.0
80T,2020,Jul,9.0
80T,2020,Aug,12.0
80T,2020,Sep,7.0
80T,2020,Oct,6.0
80T,2020,Nov,9.0
80T,2020,Dec,10.0
78T,2020,Jan,12.0
78T,2020,Feb,11.0
78T,2020,Apr,8.0
78T,2020,May,7.0
78T,2020,Jul,5.0
78T,2020,Aug,10.0
78T,2020,Sep,6.0
78T,2020,Oct,5.0
78T,2020,Nov,4.0
78T,2020,Dec,5.0
42T,2020,Jan,21.0
42T,2020,Feb,19.0
42T,2020,Mar,19.0
42T,2020,Apr,14.0
42T,2020,May,13.0
42T,2020,Jun,13.0
42T,2020,Jul,14.0
42T,2020,Aug,13.0
42T,2020,Sep,10.0
42T,2020,Oct,9.0
42T,2020,Nov,14.0
42T,2020,Dec,17.0
71T,2020,Jan,46.0
71T,2020,Feb,42.0
71T,2020,Apr,18.0
71T,2020,May,11.0
71T,2020,Jul,7.0
71T,2020,Aug,8.0
71T,2020,Sep,7.0
71T,2020,Oct,12.0
71T,2020,Nov,19.0
71T,2020,Dec,19.0
77T,2020,Jan,50.0
77T,2020,Feb,56.0
77T,2020,Apr,25.0
77T,2020,May,19.0
77T,2020,Jul,13.0
77T,2020,Aug,14.0
77T,2020,Sep,14.0
77T,2020,Oct,16.0
77T,2020,Nov,22.0
77T,2020,Dec,26.0
74T,2020,Jan,37.0
74T,2020,Feb,42.0
74T,2020,Mar,19.0
74T,2020,Apr,18.0
74T,2020,May,14.0
74T,2020,Jun,11.0
74T,2020,Jul,11.0
74T,2020,Aug,11.0
74T,2020,Sep,9.0
74T,2020,Oct,16.0
74T,2020,Nov,22.0
74T,2020,Dec,23.0
31T,2020,Jan,34.0
31T,2020,Feb,37.0
31T,2020,Mar,16.0
31T,2020,Apr,15.0
31T,2020,May,11.0
31T,2020,Jun,7.0
31T,2020,Jul,8.0
31T,2020,Aug,9.0
31T,2020,Sep,7.0
31T,2020,Oct,15.0
31T,2020,Nov,20.0
31T,2020,Dec,22.0
30T,2020,Jan,30.0
30T,2020,Feb,36.0
30T,2020,Mar,18.0
30T,2020,Apr,19.0
30T,2020,May,20.0
30T,2020,Jun,10.0
30T,2020,Jul,7.0
30T,2020,Aug,9.0
30T,2020,Sep,7.0
30T,2020,Oct,16.0
30T,2020,Nov,20.0
30T,2020,Dec,22.0
29T,2020,Jan,32.0
29T,2020,Feb,36.0
29T,2020,Apr,15.0
29T,2020,May,10.0
29T,2020,Jul,9.0
29T,2020,Aug,8.0
29T,2020,Sep,8.0
29T,2020,Oct,15.0
29T,2020,Nov,21.0
29T,2020,Dec,21.0
28T,2020,Jan,39.0
28T,2020,Feb,43.0
28T,2020,Apr,21.0
28T,2020,May,15.0
28T,2020,Jul,13.0
28T,2020,Aug,13.0
28T,2020,Sep,12.0
28T,2020,Oct,17.0
28T,2020,Nov,22.0
28T,2020,Dec,24.0
33T,2020,Jan,43.0
33T,2020,Feb,44.0
33T,2020,Mar,21.0
33T,2020,Apr,20.0
33T,2020,May,18.0
33T,2020,Jun,15.0
33T,2020,Jul,15.0
33T,2020,Aug,15.0
33T,2020,Sep,16.0
33T,2020,Oct,17.0
33T,2020,Nov,20.0
33T,2020,Dec,23.0
34T,2020,Jan,35.0
34T,2020,Feb,39.0
34T,2020,Mar,18.0
34T,2020,Apr,17.0
34T,2020,May,12.0
34T,2020,Jun,8.0
34T,2020,Jul,9.0
34T,2020,Aug,10.0
34T,2020,Sep,9.0
34T,2020,Oct,14.0
34T,2020,Nov,22.0
34T,2020,Dec,25.0
32T,2020,Jan,36.0
32T,2020,Feb,32.0
32T,2020,Mar,15.0
32T,2020,Apr,14.0
32T,2020,May,9.0
32T,2020,Jun,7.0
32T,2020,Jul,9.0
32T,2020,Aug,10.0
32T,2020,Sep,10.0
32T,2020,Oct,14.0
32T,2020,Nov,20.0
32T,2020,Dec,24.0
60T,2020,Jan,37.0
60T,2020,Feb,40.0
60T,2020,Mar,22.0
60T,2020,Apr,19.0
60T,2020,May,13.0
60T,2020,Jun,8.0
60T,2020,Jul,11.0
60T,2020,Aug,11.0
60T,2020,Sep,10.0
60T,2020,Oct,14.0
60T,2020,Nov,19.0
60T,2020,Dec,22.0
82T,2020,Jan,
83T,2020,Jan,
72T,2020,Jan,40.0
72T,2020,Feb,46.0
72T,2020,Mar,48.0
72T,2020,Apr,33.0
72T,2020,May,20.0
72T,2020,Jun,10.0
72T,2020,Jul,10.0
72T,2020,Aug,9.0
72T,2020,Sep,9.0
72T,2020,Oct,10.0
72T,2020,Nov,17.0
72T,2020,Dec,23.0
47T,2020,Jan,48.0
47T,2020,Feb,50.0
47T,2020,Mar,43.0
47T,2020,Apr,30.0
47T,2020,May,21.0
47T,2020,Jun,13.0
47T,2020,Jul,14.0
47T,2020,Aug,15.0
47T,2020,Sep,15.0
47T,2020,Oct,18.0
47T,2020,Nov,26.0
47T,2020,Dec,31.0
46T,2020,Jan,43.0
46T,2020,Feb,45.0
46T,2020,Apr,38.0
46T,2020,May,26.0
46T,2020,Jul,16.0
46T,2020,Aug,16.0
46T,2020,Sep,17.0
46T,2020,Oct,19.0
46T,2020,Nov,28.0
46T,2020,Dec,37.0
59T,2020,Jan,36.0
59T,2020,Feb,36.0
59T,2020,Mar,20.0
59T,2020,Apr,20.0
59T,2020,May,14.0
59T,2020,Jun,10.0
59T,2020,Jul,11.0
59T,2020,Aug,9.0
59T,2020,Sep,8.0
59T,2020,Oct,14.0
59T,2020,Nov,22.0
59T,2020,Dec,28.0
61T,2020,Jan,41.0
61T,2020,Feb,41.0
61T,2020,Mar,23.0
61T,2020,Apr,23.0
61T,2020,May,17.0
61T,2020,Jun,13.0
61T,2020,Jul,13.0
61T,2020,Aug,14.0
61T,2020,Sep,14.0
61T,2020,Oct,16.0
61T,2020,Nov,17.0
61T,2020,Dec,27.0
54R,2020,Jan,52.0
54R,2020,Feb,50.0
54R,2020,Mar,32.0
54R,2020,Apr,30.0
54R,2020,May,26.0
54R,2020,Jun,21.0
54R,2020,Jul,21.0
54R,2020,Aug,20.0
54R,2020,Sep,22.0
54R,2020,Oct,28.0
54R,2020,Nov,37.0
54R,2020,Dec,47.0
53R,2020,Jan,40.0
53R,2020,Feb,40.0
53R,2020,Mar,20.0
53R,2020,Apr,20.0
53R,2020,May,14.0
53R,2020,Jun,10.0
53R,2020,Jul,11.0
53R,2020,Aug,11.0
53R,2020,Sep,11.0
53R,2020,Oct,21.0
53R,2020,Nov,32.0
53R,2020,Dec,37.0
52R,2020,Jan,41.0
52R,2020,Feb,38.0
52R,2020,Mar,19.0
52R,2020,Apr,18.0
52R,2020,May,13.0
52R,2020,Jun,13.0
52R,2020,Jul,14.0
52R,2020,Aug,16.0
52R,2020,Sep,15.0
52R,2020,Oct,21.0
52R,2020,Nov,29.0
52R,2020,Dec,37.0
50R,2020,Jan,42.0
50R,2020,Feb,44.0
50R,2020,Apr,23.0
50R,2020,May,17.0
50R,2020,Jul,16.0
50R,2020,Aug,18.0
50R,2020,Sep,17.0
50R,2020,Oct,22.0
50R,2020,Nov,28.0
50R,2020,Dec,36.0
12T,2020,Jan,36.0
12T,2020,Feb,38.0
12T,2020,Mar,19.0
12T,2020,Apr,17.0
12T,2020,May,14.0
12T,2020,Jun,12.0
12T,2020,Jul,13.0
12T,2020,Aug,13.0
12T,2020,Sep,13.0
12T,2020,Oct,19.0
12T,2020,Nov,27.0
12T,2020,Dec,33.0
11T,2020,Jan,39.0
11T,2020,Feb,39.0
11T,2020,Mar,21.0
11T,2020,Apr,19.0
11T,2020,May,15.0
11T,2020,Jun,10.0
11T,2020,Jul,11.0
11T,2020,Aug,12.0
11T,2020,Sep,12.0
11T,2020,Oct,17.0
11T,2020,Nov,25.0
11T,2020,Dec,30.0
10T,2020,Jan,32.0
10T,2020,Feb,37.0
10T,2020,Mar,20.0
10T,2020,Apr,18.0
10T,2020,May,16.0
10T,2020,Jun,13.0
10T,2020,Jul,12.0
10T,2020,Aug,12.0
10T,2020,Sep,11.0
10T,2020,Oct,15.0
10T,2020,Nov,23.0
10T,2020,Dec,30.0
05T,2020,Jan,40.0
05T,2020,Feb,38.0
05T,2020,Apr,18.0
05T,2020,Apr,18.0
05T,2020,May,12.0
05T,2020,Jun,9.0
05T,2020,Jul,10.0
05T,2020,Aug,10.0
05T,2020,Sep,11.0
05T,2020,Oct,16.0
05T,2020,Nov,23.0
05T,2020,Dec,28.0
03R,2020,Jan,47.0
03R,2020,Feb,44.0
03R,2020,Mar,29.0
03R,2020,Apr,26.0
03R,2020,May,24.0
03R,2020,Jun,20.0
03R,2020,Jul,20.0
03R,2020,Aug,21.0
03R,2020,Sep,21.0
03R,2020,Oct,25.0
03R,2020,Nov,37.0
03R,2020,Dec,46.0
81T,2020,Jan,42.0
81T,2020,Feb,41.0
81T,2020,Mar,22.0
81T,2020,Apr,19.0
81T,2020,May,14.0
81T,2020,Jun,7.0
81T,2020,Jul,8.0
81T,2020,Aug,8.0
81T,2020,Sep,8.0
81T,2020,Oct,14.0
81T,2020,Nov,28.0
81T,2020,Dec,34.0
02T,2020,Jan,41.0
02T,2020,Feb,40.0
02T,2020,Mar,22.0
02T,2020,Apr,21.0
02T,2020,May,16.0
02T,2020,Jun,12.0
02T,2020,Jul,13.0
02T,2020,Aug,14.0
02T,2020,Sep,14.0
02T,2020,Oct,21.0
02T,2020,Nov,31.0
02T,2020,Dec,40.0
19T,2020,Jan,32.0
19T,2020,Feb,36.0
19T,2020,Mar,21.0
19T,2020,Apr,20.0
19T,2020,May,15.0
19T,2020,Jun,12.0
19T,2020,Jul,13.0
19T,2020,Aug,14.0
19T,2020,Sep,14.0
19T,2020,Oct,20.0
19T,2020,Nov,24.0
19T,2020,Dec,28.0
27T,2020,Jan,40.0
27T,2020,Feb,37.0
27T,2020,Mar,16.0
27T,2020,Apr,16.0
27T,2020,May,12.0
27T,2020,Jun,9.0
27T,2020,Jul,11.0
27T,2020,Aug,11.0
27T,2020,Sep,11.0
27T,2020,Oct,24.0
27T,2020,Nov,44.0
27T,2020,Dec,48.0
14T,2020,Jan,48.0
14T,2020,Feb,48.0
14T,2020,Mar,25.0
14T,2020,Apr,22.0
14T,2020,May,19.0
14T,2020,Jun,16.0
14T,2020,Jul,16.0
14T,2020,Aug,18.0
14T,2020,Sep,15.0
14T,2020,Oct,20.0
14T,2020,Nov,33.0
14T,2020,Dec,42.0
18T,2020,Jan,51.0
18T,2020,Feb,64.0
18T,2020,Mar,32.0
18T,2020,Apr,32.0
18T,2020,May,25.0
18T,2020,Jun,22.0
18T,2020,Jul,22.0
18T,2020,Aug,21.0
18T,2020,Sep,22.0
18T,2020,Oct,28.0
18T,2020,Nov,39.0
18T,2020,Dec,45.0
16T,2020,Jan,36.0
16T,2020,Feb,36.0
16T,2020,Mar,16.0
16T,2020,Apr,16.0
16T,2020,May,12.0
16T,2020,Jun,8.0
16T,2020,Jul,9.0
16T,2020,Aug,12.0
16T,2020,Sep,10.0
16T,2020,Oct,17.0
16T,2020,Nov,25.0
16T,2020,Dec,30.0
17T,2020,Jan,35.0
17T,2020,Feb,36.0
17T,2020,Mar,18.0
17T,2020,Apr,16.0
17T,2020,May,12.0
17T,2020,Jun,8.0
17T,2020,Jul,9.0
17T,2020,Aug,10.0
17T,2020,Sep,9.0
17T,2020,Oct,15.0
17T,2020,Nov,22.0
17T,2020,Dec,27.0
20T,2020,Jan,41.0
20T,2020,Feb,42.0
20T,2020,Mar,23.0
20T,2020,Apr,23.0
20T,2020,May,17.0
20T,2020,Jun,12.0
20T,2020,Jul,11.0
20T,2020,Aug,13.0
20T,2020,Sep,12.0
20T,2020,Oct,15.0
20T,2020,Nov,24.0
20T,2020,Dec,30.0
08T,2020,Jan,49.0
08T,2020,Feb,44.0
08T,2020,Mar,23.0
08T,2020,Apr,22.0
08T,2020,May,16.0
08T,2020,Jun,12.0
08T,2020,Jul,13.0
08T,2020,Aug,14.0
08T,2020,Sep,14.0
08T,2020,Oct,20.0
08T,2020,Nov,27.0
08T,2020,Dec,34.0
22T,2020,Jan,42.0
22T,2020,Feb,44.0
22T,2020,Mar,21.0
22T,2020,Apr,17.0
22T,2020,May,11.0
22T,2020,Jun,8.0
22T,2020,Jul,8.0
22T,2020,Aug,9.0
22T,2020,Sep,8.0
22T,2020,Oct,13.0
22T,2020,Nov,23.0
22T,2020,Dec,28.0
76T,2020,Jan,53.0
76T,2020,Feb,60.0
76T,2020,Mar,63.0
76T,2020,Apr,48.0
76T,2020,May,18.0
76T,2020,Jun,8.0
76T,2020,Jul,6.0
76T,2020,Aug,7.0
76T,2020,Sep,6.0
76T,2020,Oct,9.0
76T,2020,Nov,18.0
76T,2020,Dec,32.0
13T,2020,Jan,42.0
13T,2020,Feb,41.0
13T,2020,Apr,21.0
13T,2020,May,15.0
13T,2020,Jul,11.0
13T,2020,Aug,12.0
13T,2020,Sep,11.0
13T,2020,Oct,17.0
13T,2020,Nov,26.0
13T,2020,Dec,35.0
68T,2020,Jan,46.0
68T,2020,Feb,39.0
68T,2020,Apr,41.0
68T,2020,May,17.0
68T,2020,Jul,17.0
68T,2020,Aug,19.0
68T,2020,Sep,19.0
68T,2020,Oct,20.0
68T,2020,Nov,29.0
68T,2020,Dec,24.0
40T,2020,Jan,96.0
40T,2020,Feb,47.0
