Year,Month,Province,Rainfall
2022,Apr,Aranyaprathet,96.35
2022,Apr,Bangkok Airport,145.35
2022,Apr,Bangkok Metropolis,125.9
2022,Apr,Bhumibol Dam,24.35
2022,Apr,Bua Chum,94.25
2022,Apr,Chaiyaphum,76.25
2022,Apr,Chanthaburi,165.25
2022,Apr,Chiang Mai,140.95
2022,Apr,Chiang Rai,146.5
2022,Apr,Chok Chai,87.75
2022,Apr,Chon Buri,139.9
2022,Apr,Chumphon,130.65
2022,Apr,Hua Hin,34.099999999999994
2022,Apr,Kabin Buri,132.0
2022,Apr,Kamphaeng Phet,147.35
2022,Apr,Kanchanaburi,77.55
2022,Apr,Khlong Yai,212.8
2022,Apr,Khon Kaen,140.45
2022,Apr,Kosum Phisai,91.80000000000001
2022,Apr,Lampang,72.6
2022,Apr,Lamphun,48.400000000000006
2022,Apr,Loei,89.05
2022,Apr,Lom Sak,47.3
2022,Apr,Lop Buri,70.9
2022,Apr,Mae Sariang,96.8
2022,Apr,Mae Sot,70.35
2022,Apr,Mukdahan,63.2
2022,Apr,Nakhon Phanom,171.85000000000002
2022,Apr,Nakhon Ratchasima,89.0
2022,Apr,Nakhon Sawan,160.3
2022,Apr,Nan,91.4
2022,Apr,Nang Rong,160.9
2022,Apr,Narathiwat,178.14999999999998
2022,Apr,Nong Khai,142.45
2022,Apr,Pattani Airport,78.5
2022,Apr,Pattaya,144.1
2022,Apr,Phayao,178.05
2022,Apr,Phetchabun,63.7
2022,Apr,Phetchaburi,37.7
2022,Apr,Phitsanulok,78.2
2022,Apr,Phrae,60.650000000000006
2022,Apr,Phuket,170.7
2022,Apr,Phuket Airport,136.10000000000002
2022,Apr,Prachin Buri,83.19999999999999
2022,Apr,Ranong,242.0
2022,Apr,Rayong,90.25
2022,Apr,Roi Et,154.7
2022,Apr,Sakon Nakhon,113.5
2022,Apr,Sattahip,105.4
2022,Apr,Satun,295.54999999999995
2022,Apr,Songkhla,162.7
2022,Apr,Suphan Buri,130.95
2022,Apr,Surat Thani,-0.3
2022,Apr,Surin,171.6
2022,Apr,Tak,-0.20000000000000007
2022,Apr,Takua Pa,-0.35
2022,Apr,Tha Tum,28.5
2022,Apr,Trang Airport,-0.44999999999999996
2022,Apr,Ubon Ratchathani,90.4
2022,Apr,Udon Thani,-0.44999999999999996
2022,Apr,Umphang,125.94999999999999
2022,Apr,Uttaradit,88.3
2022,Apr,Wichian Buri,106.95
2022,Aug,Aranyaprathet,371.3
2022,Aug,Bangkok Airport,183.6
2022,Aug,Bangkok Metropolis,304.7
2022,Aug,Bhumibol Dam,235.6
2022,Aug,Bua Chum,169.6
2022,Aug,Chaiyaphum,205.1
2022,Aug,Chanthaburi,583.0
2022,Aug,Chiang Mai,262.1
2022,Aug,Chiang Rai,505.8
2022,Aug,Chok Chai,200.2
2022,Aug,Chon Buri,187.2
2022,Aug,Chumphon,57.0
2022,Aug,Hua Hin,75.1
2022,Aug,Kabin Buri,365.1
2022,Aug,Kamphaeng Phet,265.8
2022,Aug,Kanchanaburi,101.4
2022,Aug,Khlong Yai,1011.9
2022,Aug,Khon Kaen,272.7
2022,Aug,Kosum Phisai,336.4
2022,Aug,Lampang,203.0
2022,Aug,Lamphun,312.1
2022,Aug,Loei,237.9
2022,Aug,Lom Sak,165.4
2022,Aug,Lop Buri,303.9
2022,Aug,Mae Sariang,233.0
2022,Aug,Mae Sot,319.2
2022,Aug,Mukdahan,373.9
2022,Aug,Nakhon Phanom,560.8
2022,Aug,Nakhon Ratchasima,125.2
2022,Aug,Nakhon Sawan,233.2
2022,Aug,Nan,245.4
2022,Aug,Nang Rong,212.8
2022,Aug,Narathiwat,232.1
2022,Aug,Nong Khai,329.6
2022,Aug,Pattani Airport,198.0
2022,Aug,Pattaya,134.2
2022,Aug,Phayao,157.6
2022,Aug,Phetchabun,209.0
2022,Aug,Phetchaburi,108.0
2022,Aug,Phitsanulok,312.1
2022,Aug,Phrae,193.0
2022,Aug,Phuket,446.2
2022,Aug,Phuket Airport,410.7
2022,Aug,Prachin Buri,600.6
2022,Aug,Ranong,394.6
2022,Aug,Rayong,205.5
2022,Aug,Roi Et,241.9
2022,Aug,Sakon Nakhon,182.4
2022,Aug,Sattahip,231.6
2022,Aug,Satun,133.3
2022,Aug,Songkhla,42.9
2022,Aug,Suphan Buri,223.5
2022,Aug,Surat Thani,0.4
2022,Aug,Surin,328.1
2022,Aug,Tak,0.1
2022,Aug,Takua Pa,0.1
2022,Aug,Tha Tum,27.9
2022,Aug,Trang Airport,0.3
2022,Aug,Ubon Ratchathani,557.2
2022,Aug,Udon Thani,0.2
2022,Aug,Umphang,328.0
2022,Aug,Uttaradit,254.8
2022,Aug,Wichian Buri,228.5
2022,Dec,Aranyaprathet,0.2
2022,Dec,Bangkok Airport,6.0
2022,Dec,Bangkok Metropolis,18.3
2022,Dec,Bhumibol Dam,1.9
2022,Dec,Bua Chum,0.0
2022,Dec,Chaiyaphum,0.0
2022,Dec,Chanthaburi,0.6
2022,Dec,Chiang Mai,69.1
2022,Dec,Chiang Rai,0.4
2022,Dec,Chok Chai,0.1
2022,Dec,Chon Buri,0.0
2022,Dec,Chumphon,171.7
2022,Dec,Hua Hin,0.0
2022,Dec,Kabin Buri,0.6
2022,Dec,Kamphaeng Phet,1.2
2022,Dec,Kanchanaburi,0.0
2022,Dec,Khlong Yai,1.2
2022,Dec,Khon Kaen,0.0
2022,Dec,Kosum Phisai,0.0
2022,Dec,Lampang,8.1
2022,Dec,Lamphun,8.4
2022,Dec,Loei,0.0
2022,Dec,Lom Sak,0.0
2022,Dec,Lop Buri,0.0
2022,Dec,Mae Sariang,17.5
2022,Dec,Mae Sot,0.0
2022,Dec,Mukdahan,0.0
2022,Dec,Nakhon Phanom,0.0
2022,Dec,Nakhon Ratchasima,0.0
2022,Dec,Nakhon Sawan,0.3
2022,Dec,Nan,0.1
2022,Dec,Nang Rong,0.0
2022,Dec,Narathiwat,1324.6
2022,Dec,Nong Khai,0.0
2022,Dec,Pattani Airport,843.1
2022,Dec,Pattaya,2.2
2022,Dec,Phayao,16.8
2022,Dec,Phetchabun,0.0
2022,Dec,Phetchaburi,0.5
2022,Dec,Phitsanulok,38.8
2022,Dec,Phrae,0.8
2022,Dec,Phuket,103.7
2022,Dec,Phuket Airport,97.0
2022,Dec,Prachin Buri,0.0
2022,Dec,Ranong,99.3
2022,Dec,Rayong,0.0
2022,Dec,Roi Et,0.0
2022,Dec,Sakon Nakhon,0.0
2022,Dec,Sattahip,2.0
2022,Dec,Satun,106.5
2022,Dec,Songkhla,1052.9
2022,Dec,Suphan Buri,7.5
2022,Dec,Surat Thani,-0.5
2022,Dec,Surin,0.0
2022,Dec,Tak,0.2
2022,Dec,Takua Pa,0.0
2022,Dec,Tha Tum,23.7
2022,Dec,Trang Airport,-0.1
2022,Dec,Ubon Ratchathani,0.0
2022,Dec,Udon Thani,0.0
2022,Dec,Umphang,0.0
2022,Dec,Uttaradit,0.0
2022,Dec,Wichian Buri,0.0
2022,Feb,Aranyaprathet,131.1
2022,Feb,Bangkok Airport,95.3
2022,Feb,Bangkok Metropolis,115.3
2022,Feb,Bhumibol Dam,106.4
2022,Feb,Bua Chum,2.0
2022,Feb,Chaiyaphum,23.7
2022,Feb,Chanthaburi,117.2
2022,Feb,Chiang Mai,33.9
2022,Feb,Chiang Rai,41.5
2022,Feb,Chok Chai,37.9
2022,Feb,Chon Buri,50.6
2022,Feb,Chumphon,291.8
2022,Feb,Hua Hin,172.7
2022,Feb,Kabin Buri,42.0
2022,Feb,Kamphaeng Phet,137.6
2022,Feb,Kanchanaburi,130.8
2022,Feb,Khlong Yai,156.1
2022,Feb,Khon Kaen,45.2
2022,Feb,Kosum Phisai,20.7
2022,Feb,Lampang,15.0
2022,Feb,Lamphun,33.3
2022,Feb,Loei,74.1
2022,Feb,Lom Sak,13.5
2022,Feb,Lop Buri,20.5
2022,Feb,Mae Sariang,6.8
2022,Feb,Mae Sot,46.6
2022,Feb,Mukdahan,36.6
2022,Feb,Nakhon Phanom,21.7
2022,Feb,Nakhon Ratchasima,8.1
2022,Feb,Nakhon Sawan,71.4
2022,Feb,Nan,40.9
2022,Feb,Nang Rong,71.6
2022,Feb,Narathiwat,536.1
2022,Feb,Nong Khai,148.4
2022,Feb,Pattani Airport,370.0
2022,Feb,Pattaya,82.0
2022,Feb,Phayao,26.6
2022,Feb,Phetchabun,26.3
2022,Feb,Phetchaburi,158.9
2022,Feb,Phitsanulok,114.6
2022,Feb,Phrae,48.8
2022,Feb,Phuket,100.3
2022,Feb,Phuket Airport,115.2
2022,Feb,Prachin Buri,70.6
2022,Feb,Ranong,156.8
2022,Feb,Rayong,47.3
2022,Feb,Roi Et,8.8
2022,Feb,Sakon Nakhon,38.8
2022,Feb,Sattahip,165.6
2022,Feb,Satun,117.9
2022,Feb,Songkhla,230.4
2022,Feb,Suphan Buri,17.4
2022,Feb,Surat Thani,-0.2
2022,Feb,Surin,71.5
2022,Feb,Tak,-1.1
2022,Feb,Takua Pa,0.2
2022,Feb,Tha Tum,25.4
2022,Feb,Trang Airport,-0.1
2022,Feb,Ubon Ratchathani,42.2
2022,Feb,Udon Thani,-1.3
2022,Feb,Umphang,114.0
2022,Feb,Uttaradit,94.0
2022,Feb,Wichian Buri,13.4
2022,Jan,Aranyaprathet,9.5
2022,Jan,Bangkok Airport,29.1
2022,Jan,Bangkok Metropolis,34.4
2022,Jan,Bhumibol Dam,2.2
2022,Jan,Bua Chum,65.4
2022,Jan,Chaiyaphum,24.1
2022,Jan,Chanthaburi,19.7
2022,Jan,Chiang Mai,26.7
2022,Jan,Chiang Rai,89.0
2022,Jan,Chok Chai,0.1
2022,Jan,Chon Buri,1.8
2022,Jan,Chumphon,20.7
2022,Jan,Hua Hin,19.9
2022,Jan,Kabin Buri,5.7
2022,Jan,Kamphaeng Phet,15.1
2022,Jan,Kanchanaburi,1.4
2022,Jan,Khlong Yai,52.3
2022,Jan,Khon Kaen,3.8
2022,Jan,Kosum Phisai,0.0
2022,Jan,Lampang,35.8
2022,Jan,Lamphun,25.7
2022,Jan,Loei,13.4
2022,Jan,Lom Sak,16.5
2022,Jan,Lop Buri,4.4
2022,Jan,Mae Sariang,17.6
2022,Jan,Mae Sot,27.9
2022,Jan,Mukdahan,4.6
2022,Jan,Nakhon Phanom,6.5
2022,Jan,Nakhon Ratchasima,1.9
2022,Jan,Nakhon Sawan,28.9
2022,Jan,Nan,11.2
2022,Jan,Nang Rong,0.8
2022,Jan,Narathiwat,29.4
2022,Jan,Nong Khai,26.2
2022,Jan,Pattani Airport,1.1
2022,Jan,Pattaya,50.8
2022,Jan,Phayao,29.5
2022,Jan,Phetchabun,12.7
2022,Jan,Phetchaburi,50.7
2022,Jan,Phitsanulok,1.7
2022,Jan,Phrae,25.8
2022,Jan,Phuket,6.0
2022,Jan,Phuket Airport,31.4
2022,Jan,Prachin Buri,7.0
2022,Jan,Ranong,13.8
2022,Jan,Rayong,47.4
2022,Jan,Roi Et,14.0
2022,Jan,Sakon Nakhon,1.6
2022,Jan,Sattahip,51.9
2022,Jan,Satun,1.2
2022,Jan,Songkhla,91.6
2022,Jan,Suphan Buri,0.4
2022,Jan,Surat Thani,0.4
2022,Jan,Surin,1.0
2022,Jan,Tak,1.0
2022,Jan,Takua Pa,0.8
2022,Jan,Tha Tum,25.4
2022,Jan,Trang Airport,0.3
2022,Jan,Ubon Ratchathani,2.0
2022,Jan,Udon Thani,1.1
2022,Jan,Umphang,7.1
2022,Jan,Uttaradit,10.1
2022,Jan,Wichian Buri,11.2
2022,Jul,Aranyaprathet,131.7
2022,Jul,Bangkok Airport,184.3
2022,Jul,Bangkok Metropolis,403.4
2022,Jul,Bhumibol Dam,135.6
2022,Jul,Bua Chum,150.0
2022,Jul,Chaiyaphum,417.7
2022,Jul,Chanthaburi,550.5
2022,Jul,Chiang Mai,171.7
2022,Jul,Chiang Rai,302.1
2022,Jul,Chok Chai,225.7
2022,Jul,Chon Buri,223.0
2022,Jul,Chumphon,263.7
2022,Jul,Hua Hin,70.4
2022,Jul,Kabin Buri,185.8
2022,Jul,Kamphaeng Phet,145.3
2022,Jul,Kanchanaburi,94.1
2022,Jul,Khlong Yai,1547.8
2022,Jul,Khon Kaen,281.2
2022,Jul,Kosum Phisai,179.4
2022,Jul,Lampang,173.2
2022,Jul,Lamphun,121.0
2022,Jul,Loei,359.2
2022,Jul,Lom Sak,209.5
2022,Jul,Lop Buri,91.5
2022,Jul,Mae Sariang,158.0
2022,Jul,Mae Sot,136.9
2022,Jul,Mukdahan,319.9
2022,Jul,Nakhon Phanom,273.6
2022,Jul,Nakhon Ratchasima,243.3
2022,Jul,Nakhon Sawan,250.1
2022,Jul,Nan,268.9
2022,Jul,Nang Rong,419.2
2022,Jul,Narathiwat,238.5
2022,Jul,Nong Khai,450.9
2022,Jul,Pattani Airport,185.6
2022,Jul,Pattaya,135.9
2022,Jul,Phayao,129.1
2022,Jul,Phetchabun,297.0
2022,Jul,Phetchaburi,91.4
2022,Jul,Phitsanulok,195.5
2022,Jul,Phrae,247.4
2022,Jul,Phuket,359.8
2022,Jul,Phuket Airport,385.8
2022,Jul,Prachin Buri,341.2
2022,Jul,Ranong,889.5
2022,Jul,Rayong,150.6
2022,Jul,Roi Et,263.4
2022,Jul,Sakon Nakhon,223.7
2022,Jul,Sattahip,175.3
2022,Jul,Satun,232.9
2022,Jul,Songkhla,91.3
2022,Jul,Suphan Buri,182.8
2022,Jul,Surat Thani,-0.2
2022,Jul,Surin,239.7
2022,Jul,Tak,1.1
2022,Jul,Takua Pa,-0.3
2022,Jul,Tha Tum,28.2
2022,Jul,Trang Airport,0.5
2022,Jul,Ubon Ratchathani,429.1
2022,Jul,Udon Thani,0.5
2022,Jul,Umphang,248.9
2022,Jul,Uttaradit,228.5
2022,Jul,Wichian Buri,177.9
2022,Mar,Aranyaprathet,104.0
2022,Mar,Bangkok Airport,75.4
2022,Mar,Bangkok Metropolis,74.8
2022,Mar,Bhumibol Dam,27.6
2022,Mar,Bua Chum,161.0
2022,Mar,Chaiyaphum,119.7
2022,Mar,Chanthaburi,113.0
2022,Mar,Chiang Mai,47.0
2022,Mar,Chiang Rai,33.9
2022,Mar,Chok Chai,91.5
2022,Mar,Chon Buri,117.9
2022,Mar,Chumphon,104.0
2022,Mar,Hua Hin,33.3
2022,Mar,Kabin Buri,179.3
2022,Mar,Kamphaeng Phet,16.1
2022,Mar,Kanchanaburi,108.3
2022,Mar,Khlong Yai,139.4
2022,Mar,Khon Kaen,47.4
2022,Mar,Kosum Phisai,44.7
2022,Mar,Lampang,28.1
2022,Mar,Lamphun,61.8
2022,Mar,Loei,117.7
2022,Mar,Lom Sak,77.8
2022,Mar,Lop Buri,36.5
2022,Mar,Mae Sariang,21.7
2022,Mar,Mae Sot,28.9
2022,Mar,Mukdahan,64.4
2022,Mar,Nakhon Phanom,50.7
2022,Mar,Nakhon Ratchasima,67.4
2022,Mar,Nakhon Sawan,62.9
2022,Mar,Nan,194.6
2022,Mar,Nang Rong,13.6
2022,Mar,Narathiwat,177.3
2022,Mar,Nong Khai,193.3
2022,Mar,Pattani Airport,99.7
2022,Mar,Pattaya,27.0
2022,Mar,Phayao,87.3
2022,Mar,Phetchabun,97.7
2022,Mar,Phetchaburi,24.3
2022,Mar,Phitsanulok,18.2
2022,Mar,Phrae,92.3
2022,Mar,Phuket,123.0
2022,Mar,Phuket Airport,140.5
2022,Mar,Prachin Buri,69.7
2022,Mar,Ranong,206.1
2022,Mar,Rayong,54.1
2022,Mar,Roi Et,112.9
2022,Mar,Sakon Nakhon,62.8
2022,Mar,Sattahip,189.8
2022,Mar,Satun,324.0
2022,Mar,Songkhla,57.0
2022,Mar,Suphan Buri,18.0
2022,Mar,Surat Thani,0.0
2022,Mar,Surin,187.2
2022,Mar,Tak,-0.3
2022,Mar,Takua Pa,-0.1
2022,Mar,Tha Tum,28.5
2022,Mar,Trang Airport,-0.3
2022,Mar,Ubon Ratchathani,70.3
2022,Mar,Udon Thani,0.2
2022,Mar,Umphang,115.8
2022,Mar,Uttaradit,2.7
2022,Mar,Wichian Buri,282.9
2022,May,Aranyaprathet,145.8
2022,May,Bangkok Airport,286.0
2022,May,Bangkok Metropolis,182.8
2022,May,Bhumibol Dam,213.8
2022,May,Bua Chum,191.6
2022,May,Chaiyaphum,82.1
2022,May,Chanthaburi,368.7
2022,May,Chiang Mai,392.0
2022,May,Chiang Rai,247.8
2022,May,Chok Chai,98.4
2022,May,Chon Buri,133.2
2022,May,Chumphon,477.7
2022,May,Hua Hin,283.2
2022,May,Kabin Buri,150.4
2022,May,Kamphaeng Phet,405.6
2022,May,Kanchanaburi,152.7
2022,May,Khlong Yai,276.2
2022,May,Khon Kaen,192.5
2022,May,Kosum Phisai,361.8
2022,May,Lampang,200.4
2022,May,Lamphun,289.7
2022,May,Loei,120.0
2022,May,Lom Sak,55.7
2022,May,Lop Buri,68.0
2022,May,Mae Sariang,276.4
2022,May,Mae Sot,394.4
2022,May,Mukdahan,218.2
2022,May,Nakhon Phanom,257.3
2022,May,Nakhon Ratchasima,252.3
2022,May,Nakhon Sawan,116.6
2022,May,Nan,174.6
2022,May,Nang Rong,384.4
2022,May,Narathiwat,248.2
2022,May,Nong Khai,270.4
2022,May,Pattani Airport,222.3
2022,May,Pattaya,64.0
2022,May,Phayao,232.6
2022,May,Phetchabun,94.6
2022,May,Phetchaburi,116.6
2022,May,Phitsanulok,261.5
2022,May,Phrae,191.3
2022,May,Phuket,324.3
2022,May,Phuket Airport,263.9
2022,May,Prachin Buri,215.3
2022,May,Ranong,692.7
2022,May,Rayong,169.9
2022,May,Roi Et,292.1
2022,May,Sakon Nakhon,250.3
2022,May,Sattahip,93.3
2022,May,Satun,232.6
2022,May,Songkhla,167.1
2022,May,Suphan Buri,186.2
2022,May,Surat Thani,-0.6
2022,May,Surin,270.7
2022,May,Tak,-1.3
2022,May,Takua Pa,-0.2
2022,May,Tha Tum,27.5
2022,May,Trang Airport,-0.4
2022,May,Ubon Ratchathani,347.9
2022,May,Udon Thani,-1.3
2022,May,Umphang,285.8
2022,May,Uttaradit,196.3
2022,May,Wichian Buri,193.4
2022,Nov,Aranyaprathet,44.2
2022,Nov,Bangkok Airport,102.6
2022,Nov,Bangkok Metropolis,117.9
2022,Nov,Bhumibol Dam,67.5
2022,Nov,Bua Chum,31.8
2022,Nov,Chaiyaphum,94.8
2022,Nov,Chanthaburi,155.4
2022,Nov,Chiang Mai,16.0
2022,Nov,Chiang Rai,73.6
2022,Nov,Chok Chai,171.7
2022,Nov,Chon Buri,91.4
2022,Nov,Chumphon,316.8
2022,Nov,Hua Hin,131.4
2022,Nov,Kabin Buri,31.0
2022,Nov,Kamphaeng Phet,76.7
2022,Nov,Kanchanaburi,51.2
2022,Nov,Khlong Yai,147.1
2022,Nov,Khon Kaen,47.0
2022,Nov,Kosum Phisai,26.4
2022,Nov,Lampang,25.8
2022,Nov,Lamphun,37.3
2022,Nov,Loei,28.2
2022,Nov,Lom Sak,32.8
2022,Nov,Lop Buri,124.8
2022,Nov,Mae Sariang,73.1
2022,Nov,Mae Sot,6.8
2022,Nov,Mukdahan,51.4
2022,Nov,Nakhon Phanom,29.7
2022,Nov,Nakhon Ratchasima,63.8
