Year,Month,Province,Rainfall
2021,Aug,กรุงเทพมหานคร,266.6
2021,Aug,ขอนแก่น,190.8
2021,Aug,จันทบุรี,623.4
2021,Aug,ฉะเชิงเทรา,188.8
2021,Aug,ชัยนาท,173.0
2021,Aug,ชุมพร,128.0
2021,Aug,นครพนม,156.8
2021,Aug,นครราชสีมา,109.4
2021,Aug,นครศรีธรรมราช,229.7
2021,Aug,นครสวรรค์,218.3
2021,Aug,น่าน,134.3
2021,Aug,ปทุมธานี,182.6
2021,Aug,ประจวบคีรีขันธ์,136.5
2021,Aug,พระนครศรีอยุธยา,124.0
2021,Aug,พัทลุง,58.3
2021,Aug,ยะลา,204.2
2021,Aug,ระยอง,268.6
2021,Aug,ร้อยเอ็ด,111.1
2021,Aug,ศรีสะเกษ,170.2
2021,Aug,สกลนคร,131.1
2021,Aug,สงขลา,85.6
2021,Aug,สุราษฎร์ธานี,155.3
2021,Aug,สุรินทร์,166.8
2021,Aug,อุบลราชธานี,241.1
2021,Aug,เชียงราย,314.0
2021,Aug,เลย,183.6
2021,Dec,กรุงเทพมหานคร,0.4
2021,Dec,ขอนแก่น,0.0
2021,Dec,จันทบุรี,6.0
2021,Dec,ฉะเชิงเทรา,0.1
2021,Dec,ชัยนาท,0.0
2021,Dec,ชุมพร,99.4
2021,Dec,นครพนม,0.0
2021,Dec,นครราชสีมา,0.0
2021,Dec,นครศรีธรรมราช,473.5
2021,Dec,นครสวรรค์,0.0
2021,Dec,น่าน,0.0
2021,Dec,ปทุมธานี,0.0
2021,Dec,ประจวบคีรีขันธ์,0.0
2021,Dec,พระนครศรีอยุธยา,0.0
2021,Dec,พัทลุง,210.0
2021,Dec,ยะลา,343.8
2021,Dec,ระยอง,15.9
2021,Dec,ร้อยเอ็ด,0.0
2021,Dec,ศรีสะเกษ,4.1
2021,Dec,สกลนคร,0.0
2021,Dec,สงขลา,262.8
2021,Dec,สุราษฎร์ธานี,129.3
2021,Dec,สุรินทร์,0.0
2021,Dec,อุบลราชธานี,6.1
2021,Dec,เชียงราย,0.0
2021,Dec,เลย,0.0
2021,Feb,กรุงเทพมหานคร,66.7
2021,Feb,ขอนแก่น,46.5
2021,Feb,ฉะเชิงเทรา,28.7
2021,Feb,ชัยนาท,0.0
2021,Feb,ชุมพร,0.8
2021,Feb,ตาก,0.7
2021,Feb,นครพนม,43.2
2021,Feb,นครราชสีมา,6.9
2021,Feb,นครศรีธรรมราช,2.0
2021,Feb,นครสวรรค์,0.5
2021,Feb,น่าน,20.9
2021,Feb,ปทุมธานี,0.1
2021,Feb,ประจวบคีรีขันธ์,6.6
2021,Feb,พระนครศรีอยุธยา,3.8
2021,Feb,พัทลุง,7.7
2021,Feb,พิจิตร,16.5
2021,Feb,ยะลา,2.7
2021,Feb,ระยอง,36.7
2021,Feb,ราชบุรี,12.1
2021,Feb,ร้อยเอ็ด,50.3
2021,Feb,ศรีสะเกษ,1.0
2021,Feb,สกลนคร,23.8
2021,Feb,สงขลา,0.0
2021,Feb,สุพรรณบุรี,18.0
2021,Feb,สุราษฎร์ธานี,0.7
2021,Feb,สุรินทร์,22.9
2021,Feb,อุบลราชธานี,2.5
2021,Feb,เชียงราย,68.2
2021,Feb,เลย,26.9
2021,Jun,กรุงเทพมหานคร,171.2
2021,Jun,ขอนแก่น,122.2
2021,Jun,จันทบุรี,201.7
2021,Jun,ฉะเชิงเทรา,75.2
2021,Jun,ชัยนาท,27.6
2021,Jun,ชุมพร,113.0
2021,Jun,นครพนม,494.7
2021,Jun,นครราชสีมา,43.6
2021,Jun,นครศรีธรรมราช,93.0
2021,Jun,นครสวรรค์,83.6
2021,Jun,น่าน,130.2
2021,Jun,ปทุมธานี,68.5
2021,Jun,ประจวบคีรีขันธ์,52.9
2021,Jun,พระนครศรีอยุธยา,51.8
2021,Jun,พัทลุง,39.4
2021,Jun,ยะลา,302.7
2021,Jun,ระยอง,115.4
2021,Jun,ร้อยเอ็ด,202.4
2021,Jun,ศรีสะเกษ,140.2
2021,Jun,สกลนคร,221.2
2021,Jun,สงขลา,143.2
2021,Jun,สุราษฎร์ธานี,140.4
2021,Jun,สุรินทร์,212.6
2021,Jun,อุบลราชธานี,257.9
2021,Jun,เชียงราย,209.5
2021,Jun,เลย,73.5
2021,Mar,กรุงเทพมหานคร,3.0
2021,Mar,ขอนแก่น,77.6
2021,Mar,ฉะเชิงเทรา,95.4
2021,Mar,ชัยนาท,6.1
2021,Mar,ชุมพร,18.5
2021,Mar,ตาก,28.9
2021,Mar,นครพนม,26.1
2021,Mar,นครราชสีมา,96.0
2021,Mar,นครศรีธรรมราช,53.3
2021,Mar,นครสวรรค์,23.2
2021,Mar,น่าน,19.6
2021,Mar,ปทุมธานี,37.5
2021,Mar,ประจวบคีรีขันธ์,7.4
2021,Mar,พระนครศรีอยุธยา,7.3
2021,Mar,พัทลุง,58.7
2021,Mar,พิจิตร,1.0
2021,Mar,ยะลา,200.5
2021,Mar,ระยอง,52.7
2021,Mar,ราชบุรี,19.9
2021,Mar,ร้อยเอ็ด,36.5
2021,Mar,ศรีสะเกษ,1.0
2021,Mar,สกลนคร,106.4
2021,Mar,สงขลา,194.3
2021,Mar,สุพรรณบุรี,3.0
2021,Mar,สุราษฎร์ธานี,24.8
2021,Mar,สุรินทร์,11.8
2021,Mar,อุบลราชธานี,3.9
2021,Mar,เชียงราย,1.0
2021,Mar,เลย,39.6
2021,May,กรุงเทพมหานคร,200.9
2021,May,ขอนแก่น,141.9
2021,May,จันทบุรี,412.5
2021,May,ฉะเชิงเทรา,57.1
2021,May,ชัยนาท,15.5
2021,May,ชุมพร,122.4
2021,May,นครพนม,85.5
2021,May,นครราชสีมา,100.3
2021,May,นครศรีธรรมราช,189.0
2021,May,นครสวรรค์,122.7
2021,May,น่าน,89.7
2021,May,ปทุมธานี,164.4
2021,May,ประจวบคีรีขันธ์,149.2
2021,May,พระนครศรีอยุธยา,121.0
2021,May,พัทลุง,61.9
2021,May,ยะลา,375.2
2021,May,ระยอง,221.8
2021,May,ร้อยเอ็ด,96.0
2021,May,ศรีสะเกษ,155.4
2021,May,สกลนคร,112.7
2021,May,สงขลา,213.3
