Year,Month,Province,Total_Population
2022,Jan,กรุงเทพมหานคร,5494932
2022,Feb,กรุงเทพมหานคร,5494932
2022,Mar,กรุงเทพมหานคร,5494932
2022,Apr,กรุงเทพมหานคร,5494932
2022,May,กรุงเทพมหานคร,5494932
2022,Jun,กรุงเทพมหานคร,5494932
2022,Jul,กรุงเทพมหานคร,5494932
2022,Aug,กรุงเทพมหานคร,5494932
2022,Sep,กรุงเทพมหานคร,5494932
2022,Oct,กรุงเทพมหานคร,5494932
2022,Nov,กรุงเทพมหานคร,5494932
2022,Dec,กรุงเทพมหานคร,5494932
2022,Jan,สมุทรปราการ,1360227
2022,Feb,สมุทรปราการ,1360227
2022,Mar,สมุทรปราการ,1360227
2022,Apr,สมุทรปราการ,1360227
2022,May,สมุทรปราการ,1360227
2022,Jun,สมุทรปราการ,1360227
2022,Jul,สมุทรปราการ,1360227
2022,Aug,สมุทรปราการ,1360227
2022,Sep,สมุทรปราการ,1360227
2022,Oct,สมุทรปราการ,1360227
2022,Nov,สมุทรปราการ,1360227
2022,Dec,สมุทรปราการ,1360227
2022,Jan,นนทบุรี,1295916
2022,Feb,นนทบุรี,1295916
2022,Mar,นนทบุรี,1295916
2022,Apr,นนทบุรี,1295916
2022,May,นนทบุรี,1295916
2022,Jun,นนทบุรี,1295916
2022,Jul,นนทบุรี,1295916
2022,Aug,นนทบุรี,1295916
2022,Sep,นนทบุรี,1295916
2022,Oct,นนทบุรี,1295916
2022,Nov,นนทบุรี,1295916
2022,Dec,นนทบุรี,1295916
2022,Jan,ปทุมธานี,1201532
2022,Feb,ปทุมธานี,1201532
2022,Mar,ปทุมธานี,1201532
2022,Apr,ปทุมธานี,1201532
2022,May,ปทุมธานี,1201532
2022,Jun,ปทุมธานี,1201532
2022,Jul,ปทุมธานี,1201532
2022,Aug,ปทุมธานี,1201532
2022,Sep,ปทุมธานี,1201532
2022,Oct,ปทุมธานี,1201532
2022,Nov,ปทุมธานี,1201532
2022,Dec,ปทุมธานี,1201532
2022,Jan,พระนครศรีอยุธยา,820417
2022,Feb,พระนครศรีอยุธยา,820417
2022,Mar,พระนครศรีอยุธยา,820417
2022,Apr,พระนครศรีอยุธยา,820417
