สถิติจำนวนประชากรและบ้าน,,,,,,,,,,
พื้นที่ ทั่วประเทศ,,,,,,,,,,
ข้อมูล ปี 2566,,,,,,,,,,
พื้นที่,ชาย (ไทย),หญิง (ไทย),รวม (ไทย),ชาย (ไม่ใช่ไทย),หญิง (ไม่ใช่ไทย),รวม (ไม่ใช่ไทย),ชาย (รวม),หญิง (รวม),รวม (รวม),บ้าน (หลัง)
กรุงเทพมหานคร,"2,500,140","2,871,426","5,371,566","55,286","44,736","100,022","2,555,426","2,916,162","5,471,588","3,251,621"
จังหวัดสมุทรปราการ,"642,243","713,359","1,355,602","9,212","8,156","17,368","651,455","721,515","1,372,970","767,957"
จังหวัดนนทบุรี,"600,682","697,271","1,297,953","5,452","4,687","10,139","606,134","701,958","1,308,092","756,885"
จังหวัดปทุมธานี,"570,961","637,537","1,208,498","5,785","4,916","10,701","576,746","642,453","1,219,199","698,024"
จังหวัดพระนครศรีอยุธยา,"393,083","426,833","819,916","1,172","1,018","2,190","394,255","427,851","822,106","356,235"
จังหวัดอ่างทอง,"129,221","141,078","270,299",211,216,427,"129,432","141,294","270,726","104,166"
จังหวัดลพบุรี,"361,691","366,577","728,268",809,620,"1,429","362,500","367,197","729,697","303,427"
จังหวัดสิงห์บุรี,"95,489","105,645","201,134",163,142,305,"95,652","105,787","201,439","81,191"
จังหวัดชัยนาท,"151,580","164,275","315,855",195,170,365,"151,775","164,445","316,220","131,349"
จังหวัดสระบุรี,"311,944","324,719","636,663","1,153","1,010","2,163","313,097","325,729","638,826","300,003"
จังหวัดชลบุรี,"774,142","820,901","1,595,043","13,844","9,179","23,023","787,986","830,080","1,618,066","1,145,520"
จังหวัดระยอง,"373,577","389,879","763,456","4,474","3,259","7,733","378,051","393,138","771,189","560,445"
จังหวัดจันทบุรี,"259,529","272,452","531,981","2,305","2,150","4,455","261,834","274,602","536,436","257,417"
จังหวัดตราด,"107,331","110,159","217,490","4,826","4,736","9,562","112,157","114,895","227,052","112,977"
จังหวัดฉะเชิงเทรา,"355,337","371,150","726,487","2,116","1,940","4,056","357,453","373,090","730,543","338,168"
จังหวัดปราจีนบุรี,"245,775","252,551","498,326",715,522,"1,237","246,490","253,073","499,563","238,172"
จังหวัดนครนายก,"127,805","130,922","258,727",770,620,"1,390","128,575","131,542","260,117","108,919"
จังหวัดสระแก้ว,"278,851","279,124","557,975","2,218","2,709","4,927","281,069","281,833","562,902","230,171"
จังหวัดนครราชสีมา,"1,283,556","1,337,187","2,620,743","3,078","1,973","5,051","1,286,634","1,339,160","2,625,794","1,063,007"
จังหวัดบุรีรัมย์,"777,500","793,387","1,570,887","1,721",622,"2,343","779,221","794,009","1,573,230","497,860"
จังหวัดสุรินทร์,"678,431","687,737","1,366,168","1,144",530,"1,674","679,575","688,267","1,367,842","421,268"
จังหวัดศรีสะเกษ,"720,844","728,066","1,448,910",846,577,"1,423","721,690","728,643","1,450,333","416,240"
จังหวัดอุบลราชธานี,"927,784","932,678","1,860,462","3,757","5,389","9,146","931,541","938,067","1,869,608","652,557"
จังหวัดยโสธร,"262,969","265,521","528,490",230,158,388,"263,199","265,679","528,878","186,684"
จังหวัดชัยภูมิ,"548,101","563,958","1,112,059",931,388,"1,319","549,032","564,346","1,113,378","418,980"
จังหวัดอำนาจเจริญ,"185,549","187,805","373,354",357,426,783,"185,906","188,231","374,137","126,956"
จังหวัดบึงกาฬ,"209,936","209,695","419,631",472,384,856,"210,408","210,079","420,487","145,677"
จังหวัดหนองบัวลำภู,"251,882","254,276","506,158",554,160,714,"252,436","254,436","506,872","159,950"
จังหวัดขอนแก่น,"869,852","905,701","1,775,553","2,809","1,011","3,820","872,661","906,712","1,779,373","680,877"
จังหวัดอุดรธานี,"764,437","786,117","1,550,554","5,245","2,729","7,974","769,682","788,846","1,558,528","557,058"
จังหวัดเลย,"315,915","315,162","631,077","1,623","2,442","4,065","317,538","317,604","635,142","237,489"
จังหวัดหนองคาย,"252,183","256,890","509,073","2,375","2,573","4,948","254,558","259,463","514,021","187,581"
จังหวัดมหาสารคาม,"459,528","477,547","937,075",567,273,840,"460,095","477,820","937,915","317,734"
จังหวัดร้อยเอ็ด,"634,404","649,108","1,283,512",916,408,"1,324","635,320","649,516","1,284,836","412,826"
จังหวัดกาฬสินธุ์,"477,162","489,890","967,052",743,270,"1,013","477,905","490,160","968,065","327,426"
จังหวัดสกลนคร,"566,500","574,925","1,141,425",771,461,"1,232","567,271","575,386","1,142,657","407,975"
จังหวัดนครพนม,"354,700","357,838","712,538",857,889,"1,746","355,557","358,727","714,284","242,917"
จังหวัดมุกดาหาร,"174,110","174,172","348,282","1,561","1,752","3,313","175,671","175,924","351,595","124,524"
จังหวัดเชียงใหม่,"782,707","852,284","1,634,991","82,959","79,125","162,084","865,666","931,409","1,797,075","883,862"
จังหวัดลำพูน,"189,160","206,140","395,300","1,662","1,478","3,140","190,822","207,618","398,440","191,094"
จังหวัดลำปาง,"344,050","364,548","708,598","1,489","1,391","2,880","345,539","365,939","711,478","305,171"
จังหวัดอุตรดิตถ์,"213,412","225,077","438,489",470,670,"1,140","213,882","225,747","439,629","177,596"
จังหวัดแพร่,"204,399","221,249","425,648",388,295,683,"204,787","221,544","426,331","184,393"
จังหวัดน่าน,"235,210","235,710","470,920",798,"1,004","1,802","236,008","236,714","472,722","178,167"
จังหวัดพะเยา,"221,177","234,524","455,701","1,231","1,355","2,586","222,408","235,879","458,287","202,202"
จังหวัดเชียงราย,"567,608","597,329","1,164,937","62,309","71,731","134,040","629,917","669,060","1,298,977","586,117"
จังหวัดแม่ฮ่องสอน,"122,488","120,091","242,579","23,012","22,053","45,065","145,500","142,144","287,644","121,896"
จังหวัดนครสวรรค์,"496,195","523,695","1,019,890","1,180",813,"1,993","497,375","524,508","1,021,883","433,815"
จังหวัดอุทัยธานี,"157,014","164,770","321,784",252,237,489,"157,266","165,007","322,273","130,318"
จังหวัดกำแพงเพชร,"346,714","356,627","703,341",865,742,"1,607","347,579","357,369","704,948","288,391"
จังหวัดตาก,"274,413","274,145","548,558","75,091","68,065","143,156","349,504","342,210","691,714","236,902"
จังหวัดสุโขทัย,"279,098","297,995","577,093",457,316,773,"279,555","298,311","577,866","227,208"
จังหวัดพิษณุโลก,"409,959","429,950","839,909","1,099",721,"1,820","411,058","430,671","841,729","368,521"
จังหวัดพิจิตร,"253,908","267,354","521,262",363,282,645,"254,271","267,636","521,907","204,897"
จังหวัดเพชรบูรณ์,"474,584","490,805","965,389","1,286",746,"2,032","475,870","491,551","967,421","378,316"
จังหวัดราชบุรี,"404,760","433,006","837,766","14,421","12,559","26,980","419,181","445,565","864,746","344,905"
จังหวัดกาญจนบุรี,"406,134","410,363","816,497","41,744","37,040","78,784","447,878","447,403","895,281","365,095"
จังหวัดสุพรรณบุรี,"396,573","427,174","823,747","1,428","1,216","2,644","398,001","428,390","826,391","319,886"
จังหวัดนครปฐม,"437,189","475,693","912,882","6,061","5,578","11,639","443,250","481,271","924,521","434,658"
จังหวัดสมุทรสาคร,"269,152","293,763","562,915","15,185","13,933","29,118","284,337","307,696","592,033","316,718"
จังหวัดสมุทรสงคราม,"88,849","97,530","186,379",830,784,"1,614","89,679","98,314","187,993","76,343"
จังหวัดเพชรบุรี,"230,258","249,024","479,282","2,614","1,772","4,386","232,872","250,796","483,668","233,561"
จังหวัดประจวบคีรีขันธ์,"261,956","275,959","537,915","8,118","4,944","13,062","270,074","280,903","550,977","288,188"
จังหวัดนครศรีธรรมราช,"759,222","778,702","1,537,924","1,664","1,365","3,029","760,886","780,067","1,540,953","608,533"
จังหวัดกระบี่,"238,186","241,705","479,891","1,255",975,"2,230","239,441","242,680","482,121","204,440"
จังหวัดพังงา,"131,416","131,948","263,364","1,963","1,730","3,693","133,379","133,678","267,057","123,860"
จังหวัดภูเก็ต,"193,443","219,767","413,210","6,057","4,332","10,389","199,500","224,099","423,599","285,937"
จังหวัดสุราษฎร์ธานี,"522,939","543,443","1,066,382","5,419","3,987","9,406","528,358","547,430","1,075,788","539,755"
จังหวัดระนอง,"90,252","89,442","179,694","7,107","6,570","13,677","97,359","96,012","193,371","97,081"
จังหวัดชุมพร,"248,857","256,085","504,942","2,064","1,851","3,915","250,921","257,936","508,857","252,386"
จังหวัดสงขลา,"691,650","731,367","1,423,017","4,951","3,991","8,942","696,601","735,358","1,431,959","584,425"
จังหวัดสตูล,"161,746","163,203","324,949",293,228,521,"162,039","163,431","325,470","110,545"
จังหวัดตรัง,"310,491","325,183","635,674",721,622,"1,343","311,212","325,805","637,017","243,956"
จังหวัดพัทลุง,"253,033","267,225","520,258",199,141,340,"253,232","267,366","520,598","205,036"
จังหวัดปัตตานี,"363,595","371,964","735,559",801,717,"1,518","364,396","372,681","737,077","204,902"
จังหวัดยะลา,"272,461","275,877","548,338",787,821,"1,608","273,248","276,698","549,946","178,717"
จังหวัดนราธิวาส,"404,519","413,455","817,974",651,537,"1,188","405,170","413,992","819,162","229,831"
ยอดรวมทั้งหมด,"31,703,501","33,357,689","65,061,190","520,507","470,918","991,425","32,224,008","33,828,607","66,052,615","28,675,857"
