     ตารางที่ 5  สถิติจำนวนโรงงานอุตสาหกรรมที่ได้รับใบอนุญาตประกอบกิจการ จำพวก 3 และที่ได้ใบรับแจ้งประกอบกิจการ จำพวก 2 จำแนกเป็นรายจังหวัด ในรอบปี 2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, จำพวกที่ 2 ,,,,,, จำพวกที่ 3 ,,,,,, รวมทั้งหมด ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด, จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กระบี่, -   , -   , -   , -   , -   , -   , 9 , 248.80 , 58 , 28 , 86 ," 3,365.27 ", 9 , 248.80 , 58 , 28 , 86 ," 3,365.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร, 38 , 940.96 , 596 , 522 ," 1,118 "," 2,307.62 ", 17 ," 4,740.48 ", 487 , 289 , 776 ," 23,431.94 ", 55 ," 5,681.44 "," 1,083 ", 811 ," 1,894 "," 25,739.55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กาญจนบุรี, -   , -   , -   , -   , -   , -   , 43 ," 1,600.93 ", 405 , 343 , 748 ," 34,605.30 ", 43 ," 1,600.93 ", 405 , 343 , 748 ," 34,605.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กาฬสินธุ์, -   , -   , -   , -   , -   , -   , 24 , 536.03 , 299 , 174 , 473 ," 10,764.38 ", 24 , 536.03 , 299 , 174 , 473 ," 10,764.38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กำแพงเพชร, -   , -   , -   , -   , -   , -   , 9 , 191.20 , 76 , 21 , 97 ," 2,937.10 ", 9 , 191.20 , 76 , 21 , 97 ," 2,937.10 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ขอนแก่น, -   , -   , -   , -   , -   , -   , 33 ," 1,307.67 ", 427 , 153 , 580 ," 17,107.62 ", 33 ," 1,307.67 ", 427 , 153 , 580 ," 17,107.62 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จันทบุรี, -   , -   , -   , -   , -   , -   , 15 , 467.31 , 105 , 32 , 137 ," 6,724.85 ", 15 , 467.31 , 105 , 32 , 137 ," 6,724.85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ฉะเชิงเทรา, -   , -   , -   , -   , -   , -   , 64 ," 9,446.07 "," 1,407 "," 1,067 "," 2,474 "," 101,691.48 ", 64 ," 9,446.07 "," 1,407 "," 1,067 "," 2,474 "," 101,691.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
