สถิติโรงงานอุตสาหกรรมที่จดทะเบียนกับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการใหม่ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด ปี พ.ศ. 2555 - 2564,,,,,,,,,,,,
,,,,,,,,,,,,
ภาค,จังหวัด,รายการ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จำนวนโรงงาน (โรงงาน),"4,101","4,676","4,636","4,627","4,253","4,077","4,115","3,175","2,633","2,612"
,,เงินทุน (ล้านบาท),"216,478","368,871","375,833","406,522","310,075","322,194","231,539","301,418","171,054","239,897"
,,คนงานรวม (คน),"99,961","120,018","113,433","119,869","106,655","111,690","107,192","96,492","86,797","81,420"
,,คนงานชาย,"54,951","72,049","69,186","72,786","63,613","64,474","63,694","56,507","58,182","48,056"
,,คนงานหญิง,"45,010","47,969","44,247","47,083","43,042","47,216","43,498","39,985","28,615","33,364"
กรุงเทพมหานคร,กรุงเทพมหานคร,จำนวนโรงงาน (โรงงาน),262,260,257,270,193,189,164,99,64,185
,,เงินทุน (ล้านบาท),"4,125","6,363","5,782","5,093","7,303","6,906","6,790","3,883","2,931","6,401"
,,คนงานรวม (คน),"13,256","5,111","5,446","5,185","5,130","4,420","4,244","2,525","2,537","4,702"
,,คนงานชาย,"2,895","3,237","2,928","3,363","3,010","2,854","2,061","1,570","1,490","2,583"
,,คนงานหญิง,"10,361","1,874","2,518","1,822","2,120","1,566","2,183",955,"1,047","2,119"
ภาคกลาง,ภาคกลาง,จำนวนโรงงาน (โรงงาน),"1,693","2,132","2,271","2,491","2,342","2,317","2,296","1,892","1,532","1,412"
,,เงินทุน (ล้านบาท),"146,493","262,292","256,618","303,488","203,911","236,427","152,019","240,747","117,785","188,917"
,,คนงานรวม (คน),"55,495","80,379","76,774","79,152","72,731","80,407","70,602","72,697","63,493","56,439"
,,คนงานชาย,"32,610","45,816","46,305","46,253","41,680","43,932","40,997","42,040","43,596","33,944"
,,คนงานหญิง,"22,885","34,563","30,469","32,899","31,051","36,475","28,522","30,657","19,897","22,495"
,สมุทรปราการ,จำนวนโรงงาน (โรงงาน),231,302,338,332,236,315,296,242,205,145
,,เงินทุน (ล้านบาท),"10,948","16,181","45,412","15,743","12,950","21,163","17,821","18,481","10,205","9,430"
,,คนงานรวม (คน),"7,924","10,701","14,091","9,663","8,133","10,689","10,040","13,455","6,350","5,742"
,,คนงานชาย,"4,411","6,004","8,843","5,873","4,315","6,169","5,598","8,487","3,770","3,042"
,,คนงานหญิง,"3,513","4,697","5,248","3,790","3,818","4,520","4,442","4,968","2,580","2,700"
,นนทบุรี,จำนวนโรงงาน (โรงงาน),84,69,82,85,91,79,92,62,35,54
,,เงินทุน (ล้านบาท),"2,778","17,319","2,883","3,734","5,696","3,208","6,602","3,939","2,504","4,078"
,,คนงานรวม (คน),"1,975","1,788","2,019","2,895","1,907","1,730","2,326","1,646","1,066","1,965"
,,คนงานชาย,"1,217","1,064","1,269","1,818","1,234","1,211","1,400","1,062",614,"1,140"
,,คนงานหญิง,758,724,750,"1,077",673,519,926,584,452,825
,ปทุมธานี,จำนวนโรงงาน (โรงงาน),172,134,344,385,270,202,197,162,77,100
,,เงินทุน (ล้านบาท),"6,078","24,939","29,366","35,429","10,418","26,215","15,567","10,769","8,261","11,142"
,,คนงานรวม (คน),"6,969","9,257","10,131","14,607","6,848","9,739","8,916","7,794","2,924","3,120"
,,คนงานชาย,"4,441","3,129","5,880","7,195","3,674","4,153","4,789","3,444","1,555","1,994"
,,คนงานหญิง,"2,528","6,128","4,251","7,412","3,174","5,586","3,044","4,350","1,369","1,126"
,พระนครศรีอยุธยา,จำนวนโรงงาน (โรงงาน),109,93,117,132,121,117,96,57,55,47
,,เงินทุน (ล้านบาท),"47,980","32,963","17,226","27,138","14,791","18,941","9,581","7,554","14,137","8,000"
,,คนงานรวม (คน),"4,734","7,043","4,363","4,232","7,852","9,862","3,358","5,440","1,091","2,146"
,,คนงานชาย,"2,428","3,382","1,983","2,976","3,715","4,334","2,039","2,175",695,"1,266"
,,คนงานหญิง,"2,306","3,661","2,380","1,256","4,137","5,528","1,319","3,265",396,880
,อ่างทอง,จำนวนโรงงาน (โรงงาน),49,31,17,30,19,18,11,11,8,8
,,เงินทุน (ล้านบาท),824,519,"6,834","1,234",764,644,508,194,686,140
,,คนงานรวม (คน),536,442,325,339,297,242,171,198,211,135
,,คนงานชาย,434,292,267,262,235,176,105,99,91,111
,,คนงานหญิง,102,150,58,77,62,66,66,99,120,24
,ลพบุรี,จำนวนโรงงาน (โรงงาน),40,32,37,59,31,19,30,16,27,14
,,เงินทุน (ล้านบาท),"2,788","3,726","5,151","19,680","7,503",948,672,"1,566",609,"1,858"
,,คนงานรวม (คน),522,"1,049",713,"1,605",789,235,352,264,"8,045",149
,,คนงานชาย,433,553,438,852,549,171,269,206,"7,997",121
,,คนงานหญิง,89,496,275,753,240,64,83,58,48,28
,สิงห์บุรี,จำนวนโรงงาน (โรงงาน),6,8,4,6,11,6,5,5,6,6
,,เงินทุน (ล้านบาท),294,307,101,454,249,265,105,80,182,145
,,คนงานรวม (คน),251,282,75,157,175,73,212,100,206,111
,,คนงานชาย,113,86,15,114,88,48,100,59,151,49
,,คนงานหญิง,138,196,60,43,87,25,112,41,55,62
,ชัยนาท,จำนวนโรงงาน (โรงงาน),17,53,30,34,8,21,13,8,14,14
,,เงินทุน (ล้านบาท),"1,881",804,"3,310","1,713",81,150,140,493,277,178
,,คนงานรวม (คน),277,412,605,296,28,85,61,66,94,54
,,คนงานชาย,215,306,332,233,22,76,43,47,73,51
,,คนงานหญิง,62,106,273,63,6,9,18,19,21,3
,สระบุรี,จำนวนโรงงาน (โรงงาน),66,84,62,68,58,79,51,56,56,63
,,เงินทุน (ล้านบาท),"8,636","25,116","11,874","13,404","5,384","8,411","7,046","82,614","3,358","5,522"
,,คนงานรวม (คน),"3,741","6,146","1,758","2,231",873,"2,500","1,101",954,"1,286","1,961"
,,คนงานชาย,"2,646","2,963","1,212","1,517",634,"1,434",603,679,961,"1,142"
,,คนงานหญิง,"1,095","3,183",546,714,239,"1,066",498,275,325,819
,ชลบุรี,จำนวนโรงงาน (โรงงาน),148,268,247,254,234,243,250,208,251,223
,,เงินทุน (ล้านบาท),"6,743","16,668","22,868","31,151","18,143","17,599","9,986","25,510","19,066","13,344"
,,คนงานรวม (คน),"4,509","6,911","9,108","10,949","11,518","8,746","6,320","5,585","10,109","8,669"
,,คนงานชาย,"2,814","4,639","5,700","5,819","6,521","5,269","3,702","3,813","6,202","5,520"
,,คนงานหญิง,"1,695","2,272","3,408","5,130","4,997","3,477","2,618","1,772","3,907","3,149"
,ระยอง,จำนวนโรงงาน (โรงงาน),71,103,69,235,142,121,139,120,90,92
,,เงินทุน (ล้านบาท),"21,859","28,216","32,111","47,488","18,651","78,061","26,417","28,015","9,987","57,476"
,,คนงานรวม (คน),"2,918","4,038","2,877","6,880","4,037","2,744","4,668","7,628","3,674","8,461"
,,คนงานชาย,"2,041","2,926","2,166","4,556","2,787","1,901","3,162","3,661","2,492","4,829"
,,คนงานหญิง,877,"1,112",711,"2,324","1,250",843,"1,506","3,967","1,182","3,632"
,จันทบุรี,จำนวนโรงงาน (โรงงาน),35,28,15,9,17,19,21,22,14,16
,,เงินทุน (ล้านบาท),368,375,129,517,464,347,"2,620",862,194,217
,,คนงานรวม (คน),243,292,135,417,226,340,619,512,300,289
,,คนงานชาย,176,206,82,243,135,158,331,275,169,164
,,คนงานหญิง,67,86,53,174,91,182,288,237,131,125
,ตราด,จำนวนโรงงาน (โรงงาน),20,21,13,32,52,33,22,14,10,8
,,เงินทุน (ล้านบาท),206,308,426,295,833,493,126,120,132,90
,,คนงานรวม (คน),144,239,110,258,483,524,200,148,102,59
,,คนงานชาย,109,163,87,225,310,438,121,91,78,49
,,คนงานหญิง,35,76,23,33,173,86,79,57,24,10
,ฉะเชิงเทรา,จำนวนโรงงาน (โรงงาน),68,96,102,70,80,100,94,81,112,83
,,เงินทุน (ล้านบาท),"8,207","12,636","26,868","9,220","10,763","7,842","6,194","4,135","16,795","8,681"
,,คนงานรวม (คน),"2,113","5,367","5,313","1,874","1,833","2,823","3,088","3,245","5,061","2,794"
,,คนงานชาย,"1,323","3,386","3,194","1,239","1,245","1,883","2,167","2,277","3,092","1,961"
,,คนงานหญิง,790,"1,981","2,119",635,588,940,921,968,"1,969",833
,ปราจีนบุรี,จำนวนโรงงาน (โรงงาน),44,68,52,48,54,54,72,55,35,50
,,เงินทุน (ล้านบาท),"9,261","35,778","13,669","12,267","20,444","2,810","10,312","19,264","1,832","10,150"
,,คนงานรวม (คน),"5,294","7,440","1,989","1,453","2,638","1,145","3,809","3,450","7,248","4,390"
,,คนงานชาย,"1,872","5,231","1,241",912,"1,504",726,"1,972","2,229","6,646","2,807"
,,คนงานหญิง,"3,422","2,209",748,541,"1,134",419,"1,837","1,221",602,"1,583"
,นครนายก,จำนวนโรงงาน (โรงงาน),10,20,32,4,7,4,12,1,2,1
,,เงินทุน (ล้านบาท),126,"1,596",335,31,386,55,72,21,794,1
,,คนงานรวม (คน),258,623,264,76,57,17,109,6,511,25
,,คนงานชาย,173,376,209,52,41,15,98,3,160,7
,,คนงานหญิง,85,247,55,24,16,2,11,3,351,18
,สระแก้ว,จำนวนโรงงาน (โรงงาน),28,42,58,25,78,39,17,21,5,17
,,เงินทุน (ล้านบาท),482,"2,014",293,257,"20,126","7,438","2,108","1,763",602,"1,559"
,,คนงานรวม (คน),710,774,336,263,860,"1,101",232,752,179,241
,,คนงานชาย,317,510,288,185,612,728,118,429,107,153
